Group,Subj,Period,Stage,ExptStage,DayPeriod,MagEntries
Muscimol,9,CS,Infusion,Infusion,12,20.4375
Muscimol,9,CS,Infusion,Infusion,13,10.5625
Muscimol,9,CS,Infusion,Infusion,14,6.1875
Muscimol,9,CS,Infusion,Infusion,15,11.4375
Muscimol,9,CS,No Infusion,NoInfusion,16,23.5625
Muscimol,9,CS,No Infusion,NoInfusion,17,29.5
Muscimol,9,CS,Post,PostAcquisition,Post,10.28125
Muscimol,9,CSPre,Acquisition,Acquisition,1,2.25
Muscimol,9,CSPre,Acquisition,Acquisition,2,6.0625
Muscimol,9,CSPre,Acquisition,Acquisition,3,5.75
Muscimol,9,CSPre,Acquisition,Acquisition,4,7.75
Muscimol,9,CSPre,Acquisition,Acquisition,5,7.8125
Muscimol,9,CSPre,Acquisition,Acquisition,6,10.5625
Muscimol,9,CSPre,Acquisition,Acquisition,7,8.8125
Muscimol,9,CSPre,Acquisition,Acquisition,8,13.875
Muscimol,9,CSPre,Acquisition,Acquisition,9,10.3125
Muscimol,9,CSPre,Infusion,Infusion,12,20.0625
Muscimol,9,CSPre,Infusion,Infusion,13,9.5
Muscimol,9,CSPre,Infusion,Infusion,14,4.75
Muscimol,9,CSPre,Infusion,Infusion,15,10.8125
Muscimol,9,CSPre,No Infusion,NoInfusion,16,17.875
Muscimol,9,CSPre,No Infusion,NoInfusion,17,19.6875
Muscimol,9,CSPre,Post,PostAcquisition,Post,10.03125
Muscimol,9,PreCS,Acquisition,Acquisition,1,3.5625
Muscimol,9,PreCS,Acquisition,Acquisition,2,2.4375
Muscimol,9,PreCS,Acquisition,Acquisition,3,2.0625
Muscimol,9,PreCS,Acquisition,Acquisition,4,0.5625
Muscimol,9,PreCS,Acquisition,Acquisition,5,4.8125
Muscimol,9,PreCS,Acquisition,Acquisition,6,3.625
Muscimol,9,PreCS,Acquisition,Acquisition,7,3
Muscimol,9,PreCS,Acquisition,Acquisition,8,2.1875
Muscimol,9,PreCS,Acquisition,Acquisition,9,6.5625
Muscimol,9,PreCS,Infusion,Infusion,12,0.375
Muscimol,9,PreCS,Infusion,Infusion,13,1.0625
Muscimol,9,PreCS,Infusion,Infusion,14,1.4375
Muscimol,9,PreCS,Infusion,Infusion,15,0.625
Muscimol,9,PreCS,No Infusion,NoInfusion,16,5.6875
Muscimol,9,PreCS,No Infusion,NoInfusion,17,9.8125
Muscimol,9,PreCS,Post,PostAcquisition,Post,0.25
Muscimol,13,CS,Acquisition,Acquisition,1,2.5
Muscimol,13,CS,Acquisition,Acquisition,2,3.0625
Muscimol,13,CS,Acquisition,Acquisition,3,4.1875
Muscimol,13,CS,Acquisition,Acquisition,4,5
Muscimol,13,CS,Acquisition,Acquisition,5,4.8125
Muscimol,13,CS,Acquisition,Acquisition,6,4.75
Muscimol,13,CS,Acquisition,Acquisition,7,5.75
Muscimol,13,CS,Acquisition,Acquisition,8,5.8125
Muscimol,13,CS,Acquisition,Acquisition,9,5.4375
Muscimol,13,CS,Infusion,Infusion,12,2.9375
Muscimol,13,CS,Infusion,Infusion,13,3.9375
Muscimol,13,CS,Infusion,Infusion,14,3.8125
Muscimol,13,CS,Infusion,Infusion,15,2.6875
Muscimol,13,CS,No Infusion,NoInfusion,16,5.5
Muscimol,13,CS,No Infusion,NoInfusion,17,5.25
Muscimol,13,CS,Post,PostAcquisition,Post,4.59375
Muscimol,13,CSPre,Acquisition,Acquisition,1,1.0625
Muscimol,13,CSPre,Acquisition,Acquisition,2,1.5
Muscimol,13,CSPre,Acquisition,Acquisition,3,2.5625
Muscimol,13,CSPre,Acquisition,Acquisition,4,4
Muscimol,13,CSPre,Acquisition,Acquisition,5,3.25
Muscimol,13,CSPre,Acquisition,Acquisition,6,3.6875
Muscimol,13,CSPre,Acquisition,Acquisition,7,5.375
Muscimol,13,CSPre,Acquisition,Acquisition,8,5.625
Muscimol,13,CSPre,Acquisition,Acquisition,9,4.5
Muscimol,13,CSPre,Infusion,Infusion,12,2.6875
Muscimol,13,CSPre,Infusion,Infusion,13,3.3125
Muscimol,13,CSPre,Infusion,Infusion,14,3
Muscimol,13,CSPre,Infusion,Infusion,15,1.6875
Muscimol,13,CSPre,No Infusion,NoInfusion,16,4.9375
Muscimol,13,CSPre,No Infusion,NoInfusion,17,4.8125
Muscimol,13,CSPre,Post,PostAcquisition,Post,4.5625
Muscimol,13,PreCS,Acquisition,Acquisition,1,1.4375
Muscimol,13,PreCS,Acquisition,Acquisition,2,1.5625
Muscimol,13,PreCS,Acquisition,Acquisition,3,1.625
Muscimol,13,PreCS,Acquisition,Acquisition,4,1
Muscimol,13,PreCS,Acquisition,Acquisition,5,1.5625
Muscimol,13,PreCS,Acquisition,Acquisition,6,1.0625
Muscimol,13,PreCS,Acquisition,Acquisition,7,0.375
Muscimol,13,PreCS,Acquisition,Acquisition,8,0.1875
Muscimol,13,PreCS,Acquisition,Acquisition,9,0.9375
Muscimol,13,PreCS,Infusion,Infusion,12,0.25
Muscimol,13,PreCS,Infusion,Infusion,13,0.625
Muscimol,13,PreCS,Infusion,Infusion,14,0.8125
Muscimol,13,PreCS,Infusion,Infusion,15,1
Muscimol,13,PreCS,No Infusion,NoInfusion,16,0.5625
Muscimol,13,PreCS,No Infusion,NoInfusion,17,0.4375
Muscimol,13,PreCS,Post,PostAcquisition,Post,0.03125
Muscimol,14,CS,Acquisition,Acquisition,1,3.5625
Muscimol,14,CS,Acquisition,Acquisition,2,6.3125
Muscimol,14,CS,Acquisition,Acquisition,3,7
Muscimol,14,CS,Acquisition,Acquisition,4,6
Muscimol,14,CS,Acquisition,Acquisition,5,8.0625
Muscimol,14,CS,Acquisition,Acquisition,6,6.75
Muscimol,14,CS,Acquisition,Acquisition,7,5.4375
Muscimol,14,CS,Acquisition,Acquisition,8,5.8125
Muscimol,14,CS,Acquisition,Acquisition,9,6.125
Muscimol,14,CS,Infusion,Infusion,12,6
Muscimol,14,CS,Infusion,Infusion,13,7.8125
Muscimol,14,CS,Infusion,Infusion,14,4.75
Muscimol,14,CS,Infusion,Infusion,15,6
Muscimol,14,CS,No Infusion,NoInfusion,16,11.3125
Muscimol,14,CS,No Infusion,NoInfusion,17,17.3125
Muscimol,14,CS,Post,PostAcquisition,Post,6.625
Muscimol,14,CSPre,Acquisition,Acquisition,1,0.6875
Muscimol,14,CSPre,Acquisition,Acquisition,2,3.625
Muscimol,14,CSPre,Acquisition,Acquisition,3,5.5625
Muscimol,14,CSPre,Acquisition,Acquisition,4,3.75
Muscimol,14,CSPre,Acquisition,Acquisition,5,6.5625
Muscimol,14,CSPre,Acquisition,Acquisition,6,4.125
Muscimol,14,CSPre,Acquisition,Acquisition,7,3.75
Muscimol,14,CSPre,Acquisition,Acquisition,8,4.0625
Muscimol,14,CSPre,Acquisition,Acquisition,9,4.625
Muscimol,14,CSPre,Infusion,Infusion,12,5.9375
Muscimol,14,CSPre,Infusion,Infusion,13,7.75
Muscimol,14,CSPre,Infusion,Infusion,14,4.1875
Muscimol,14,CSPre,Infusion,Infusion,15,5.5
Muscimol,14,CSPre,No Infusion,NoInfusion,16,10.0625
Muscimol,14,CSPre,No Infusion,NoInfusion,17,12.8125
Muscimol,14,CSPre,Post,PostAcquisition,Post,6.21875
Muscimol,14,PreCS,Acquisition,Acquisition,1,2.875
Muscimol,14,PreCS,Acquisition,Acquisition,2,2.6875
Muscimol,14,PreCS,Acquisition,Acquisition,3,1.4375
Muscimol,14,PreCS,Acquisition,Acquisition,4,2.25
Muscimol,14,PreCS,Acquisition,Acquisition,5,1.5
Muscimol,14,PreCS,Acquisition,Acquisition,6,2.625
Muscimol,14,PreCS,Acquisition,Acquisition,7,1.6875
Muscimol,14,PreCS,Acquisition,Acquisition,8,1.75
Muscimol,14,PreCS,Acquisition,Acquisition,9,1.5
Muscimol,14,PreCS,Infusion,Infusion,12,0.0625
Muscimol,14,PreCS,Infusion,Infusion,13,0.0625
Muscimol,14,PreCS,Infusion,Infusion,14,0.5625
Muscimol,14,PreCS,Infusion,Infusion,15,0.5
Muscimol,14,PreCS,No Infusion,NoInfusion,16,1.25
Muscimol,14,PreCS,No Infusion,NoInfusion,17,4.5
Muscimol,14,PreCS,Post,PostAcquisition,Post,0.40625
Muscimol,16,CS,Acquisition,Acquisition,1,5.3125
Muscimol,16,CS,Acquisition,Acquisition,2,5.1875
Muscimol,16,CS,Acquisition,Acquisition,3,5.4375
Muscimol,16,CS,Acquisition,Acquisition,4,5.625
Muscimol,16,CS,Acquisition,Acquisition,5,6.6875
Muscimol,16,CS,Acquisition,Acquisition,6,7.5625
Muscimol,16,CS,Acquisition,Acquisition,7,7.375
Muscimol,16,CS,Acquisition,Acquisition,8,6.25
Muscimol,16,CS,Acquisition,Acquisition,9,5.75
Muscimol,16,CS,Infusion,Infusion,12,6.25
Muscimol,16,CS,Infusion,Infusion,13,5.125
Muscimol,16,CS,Infusion,Infusion,14,4.1875
Muscimol,16,CS,Infusion,Infusion,15,4.25
Muscimol,16,CS,No Infusion,NoInfusion,16,6.9375
Muscimol,16,CS,No Infusion,NoInfusion,17,7.3125
Muscimol,16,CS,Post,PostAcquisition,Post,7.34375
Muscimol,16,CSPre,Acquisition,Acquisition,1,1.75
Muscimol,16,CSPre,Acquisition,Acquisition,2,3.9375
Muscimol,16,CSPre,Acquisition,Acquisition,3,4.625
Muscimol,16,CSPre,Acquisition,Acquisition,4,4.8125
Muscimol,16,CSPre,Acquisition,Acquisition,5,5.5625
Muscimol,16,CSPre,Acquisition,Acquisition,6,7.125
Muscimol,16,CSPre,Acquisition,Acquisition,7,6.75
Muscimol,16,CSPre,Acquisition,Acquisition,8,5.5625
Muscimol,16,CSPre,Acquisition,Acquisition,9,5.375
Muscimol,16,CSPre,Infusion,Infusion,12,6.125
Muscimol,16,CSPre,Infusion,Infusion,13,5.125
Muscimol,16,CSPre,Infusion,Infusion,14,4
Muscimol,16,CSPre,Infusion,Infusion,15,4.1875
Muscimol,16,CSPre,No Infusion,NoInfusion,16,6.5
Muscimol,16,CSPre,No Infusion,NoInfusion,17,7.0625
Muscimol,16,CSPre,Post,PostAcquisition,Post,6.90625
Muscimol,16,PreCS,Acquisition,Acquisition,1,3.5625
Muscimol,16,PreCS,Acquisition,Acquisition,2,1.25
Muscimol,16,PreCS,Acquisition,Acquisition,3,0.8125
Muscimol,16,PreCS,Acquisition,Acquisition,4,0.8125
Muscimol,16,PreCS,Acquisition,Acquisition,5,1.125
Muscimol,16,PreCS,Acquisition,Acquisition,6,0.4375
Muscimol,16,PreCS,Acquisition,Acquisition,7,0.625
Muscimol,16,PreCS,Acquisition,Acquisition,8,0.6875
Muscimol,16,PreCS,Acquisition,Acquisition,9,0.375
Muscimol,16,PreCS,Infusion,Infusion,12,0.125
Muscimol,16,PreCS,Infusion,Infusion,13,0
Muscimol,16,PreCS,Infusion,Infusion,14,0.1875
Muscimol,16,PreCS,Infusion,Infusion,15,0.0625
Muscimol,16,PreCS,No Infusion,NoInfusion,16,0.4375
Muscimol,16,PreCS,No Infusion,NoInfusion,17,0.25
Muscimol,16,PreCS,Post,PostAcquisition,Post,0.4375
Muscimol,19,CS,Acquisition,Acquisition,1,2.8125
Muscimol,19,CS,Acquisition,Acquisition,2,4.625
Muscimol,19,CS,Acquisition,Acquisition,3,6.9375
Muscimol,19,CS,Acquisition,Acquisition,4,7.375
Muscimol,19,CS,Acquisition,Acquisition,5,6.875
Muscimol,19,CS,Acquisition,Acquisition,6,7.125
Muscimol,19,CS,Acquisition,Acquisition,7,4.3125
Muscimol,19,CS,Acquisition,Acquisition,8,4.5625
Muscimol,19,CS,Acquisition,Acquisition,9,5.4375
Muscimol,19,CS,Infusion,Infusion,12,11.25
Muscimol,19,CS,Infusion,Infusion,13,10.875
Muscimol,19,CS,Infusion,Infusion,14,8.6875
Muscimol,19,CS,Infusion,Infusion,15,9.75
Muscimol,19,CS,No Infusion,NoInfusion,16,13.5625
Muscimol,19,CS,No Infusion,NoInfusion,17,22
Muscimol,19,CS,Post,PostAcquisition,Post,12.15625
Muscimol,19,CSPre,Acquisition,Acquisition,1,1.25
Muscimol,19,CSPre,Acquisition,Acquisition,2,1.25
Muscimol,19,CSPre,Acquisition,Acquisition,3,5.125
Muscimol,19,CSPre,Acquisition,Acquisition,4,6.6875
Muscimol,19,CSPre,Acquisition,Acquisition,5,5.25
Muscimol,19,CSPre,Acquisition,Acquisition,6,5.125
Muscimol,19,CSPre,Acquisition,Acquisition,7,3.75
Muscimol,19,CSPre,Acquisition,Acquisition,8,4.25
Muscimol,19,CSPre,Acquisition,Acquisition,9,5
Muscimol,19,CSPre,Infusion,Infusion,12,10.1875
Muscimol,19,CSPre,Infusion,Infusion,13,10.8125
Muscimol,19,CSPre,Infusion,Infusion,14,7.4375
Muscimol,19,CSPre,Infusion,Infusion,15,9.0625
Muscimol,19,CSPre,No Infusion,NoInfusion,16,13.375
Muscimol,19,CSPre,No Infusion,NoInfusion,17,16.25
Muscimol,19,CSPre,Post,PostAcquisition,Post,11.5
Muscimol,19,PreCS,Acquisition,Acquisition,1,1.5625
Muscimol,19,PreCS,Acquisition,Acquisition,2,3.375
Muscimol,19,PreCS,Acquisition,Acquisition,3,1.8125
Muscimol,19,PreCS,Acquisition,Acquisition,4,0.6875
Muscimol,19,PreCS,Acquisition,Acquisition,5,1.625
Muscimol,19,PreCS,Acquisition,Acquisition,6,2
Muscimol,19,PreCS,Acquisition,Acquisition,7,0.5625
Muscimol,19,PreCS,Acquisition,Acquisition,8,0.3125
Muscimol,19,PreCS,Acquisition,Acquisition,9,0.4375
Muscimol,19,PreCS,Infusion,Infusion,12,1.0625
Muscimol,19,PreCS,Infusion,Infusion,13,0.0625
Muscimol,19,PreCS,Infusion,Infusion,14,1.25
Muscimol,19,PreCS,Infusion,Infusion,15,0.6875
Muscimol,19,PreCS,No Infusion,NoInfusion,16,0.1875
Muscimol,19,PreCS,No Infusion,NoInfusion,17,5.75
Muscimol,19,PreCS,Post,PostAcquisition,Post,0.65625
Muscimol,21,CS,Acquisition,Acquisition,1,2.5
Muscimol,21,CS,Acquisition,Acquisition,2,2.9375
Muscimol,21,CS,Acquisition,Acquisition,3,6.125
Muscimol,21,CS,Acquisition,Acquisition,4,7.625
Muscimol,21,CS,Acquisition,Acquisition,5,4.75
Muscimol,21,CS,Acquisition,Acquisition,6,4.75
Muscimol,21,CS,Acquisition,Acquisition,7,6.875
Muscimol,21,CS,Acquisition,Acquisition,8,6.625
Muscimol,21,CS,Acquisition,Acquisition,9,8.0625
Muscimol,21,CS,Infusion,Infusion,12,2.75
Muscimol,21,CS,Infusion,Infusion,13,4.3125
Muscimol,21,CS,Infusion,Infusion,14,4.25
Muscimol,21,CS,Infusion,Infusion,15,2.5625
Muscimol,21,CS,No Infusion,NoInfusion,16,7.4375
Muscimol,21,CS,No Infusion,NoInfusion,17,7.5625
Muscimol,21,CS,Post,PostAcquisition,Post,5.34375
Muscimol,21,CSPre,Acquisition,Acquisition,1,0.0625
Muscimol,21,CSPre,Acquisition,Acquisition,2,0.375
Muscimol,21,CSPre,Acquisition,Acquisition,3,4.8125
Muscimol,21,CSPre,Acquisition,Acquisition,4,6
Muscimol,21,CSPre,Acquisition,Acquisition,5,3.6875
Muscimol,21,CSPre,Acquisition,Acquisition,6,3.8125
Muscimol,21,CSPre,Acquisition,Acquisition,7,6.3125
Muscimol,21,CSPre,Acquisition,Acquisition,8,4.125
Muscimol,21,CSPre,Acquisition,Acquisition,9,7.4375
Muscimol,21,CSPre,Infusion,Infusion,12,2.0625
Muscimol,21,CSPre,Infusion,Infusion,13,3.6875
Muscimol,21,CSPre,Infusion,Infusion,14,2.6875
Muscimol,21,CSPre,Infusion,Infusion,15,1.5
Muscimol,21,CSPre,No Infusion,NoInfusion,16,7.3125
Muscimol,21,CSPre,No Infusion,NoInfusion,17,7.125
Muscimol,21,CSPre,Post,PostAcquisition,Post,5.25
Muscimol,21,PreCS,Acquisition,Acquisition,1,2.4375
Muscimol,21,PreCS,Acquisition,Acquisition,2,2.5625
Muscimol,21,PreCS,Acquisition,Acquisition,3,1.3125
Muscimol,21,PreCS,Acquisition,Acquisition,4,1.625
Muscimol,21,PreCS,Acquisition,Acquisition,5,1.0625
Muscimol,21,PreCS,Acquisition,Acquisition,6,0.9375
Muscimol,21,PreCS,Acquisition,Acquisition,7,0.5625
Muscimol,21,PreCS,Acquisition,Acquisition,8,2.5
Muscimol,21,PreCS,Acquisition,Acquisition,9,0.625
Muscimol,21,PreCS,Infusion,Infusion,12,0.6875
Muscimol,21,PreCS,Infusion,Infusion,13,0.625
Muscimol,21,PreCS,Infusion,Infusion,14,1.5625
Muscimol,21,PreCS,Infusion,Infusion,15,1.0625
Muscimol,21,PreCS,No Infusion,NoInfusion,16,0.125
Muscimol,21,PreCS,No Infusion,NoInfusion,17,0.4375
Muscimol,21,PreCS,Post,PostAcquisition,Post,0.09375
Muscimol,23,CS,Acquisition,Acquisition,1,2.3125
Muscimol,23,CS,Acquisition,Acquisition,2,3.6875
Muscimol,23,CS,Acquisition,Acquisition,3,5
Muscimol,23,CS,Acquisition,Acquisition,4,5.5
Muscimol,23,CS,Acquisition,Acquisition,5,5.125
Muscimol,23,CS,Acquisition,Acquisition,6,4.4375
Muscimol,23,CS,Acquisition,Acquisition,7,5.125
Muscimol,23,CS,Acquisition,Acquisition,8,4.5
Muscimol,23,CS,Acquisition,Acquisition,9,3.75
Muscimol,23,CS,Infusion,Infusion,12,6.4375
Muscimol,23,CS,Infusion,Infusion,13,5.3125
Muscimol,23,CS,Infusion,Infusion,14,5.5625
Muscimol,23,CS,Infusion,Infusion,15,4.8125
Muscimol,23,CS,No Infusion,NoInfusion,16,9.1875
Muscimol,23,CS,No Infusion,NoInfusion,17,13.5625
Muscimol,23,CS,Post,PostAcquisition,Post,6.90625
Muscimol,23,CSPre,Acquisition,Acquisition,1,1.125
Muscimol,23,CSPre,Acquisition,Acquisition,2,1.0625
Muscimol,23,CSPre,Acquisition,Acquisition,3,3.9375
Muscimol,23,CSPre,Acquisition,Acquisition,4,4.1875
Muscimol,23,CSPre,Acquisition,Acquisition,5,3.875
Muscimol,23,CSPre,Acquisition,Acquisition,6,3.5625
Muscimol,23,CSPre,Acquisition,Acquisition,7,4.3125
Muscimol,23,CSPre,Acquisition,Acquisition,8,2.75
Muscimol,23,CSPre,Acquisition,Acquisition,9,1.625
Muscimol,23,CSPre,Infusion,Infusion,12,6.3125
Muscimol,23,CSPre,Infusion,Infusion,13,4.75
Muscimol,23,CSPre,Infusion,Infusion,14,4.125
Muscimol,23,CSPre,Infusion,Infusion,15,3.8125
Muscimol,23,CSPre,No Infusion,NoInfusion,16,7.6875
Muscimol,23,CSPre,No Infusion,NoInfusion,17,9.8125
Muscimol,23,CSPre,Post,PostAcquisition,Post,6.09375
Muscimol,23,PreCS,Acquisition,Acquisition,1,1.1875
Muscimol,23,PreCS,Acquisition,Acquisition,2,2.625
Muscimol,23,PreCS,Acquisition,Acquisition,3,1.0625
Muscimol,23,PreCS,Acquisition,Acquisition,4,1.3125
Muscimol,23,PreCS,Acquisition,Acquisition,5,1.25
Muscimol,23,PreCS,Acquisition,Acquisition,6,0.875
Muscimol,23,PreCS,Acquisition,Acquisition,7,0.8125
Muscimol,23,PreCS,Acquisition,Acquisition,8,1.75
Muscimol,23,PreCS,Acquisition,Acquisition,9,2.125
Muscimol,23,PreCS,Infusion,Infusion,12,0.125
Muscimol,23,PreCS,Infusion,Infusion,13,0.5625
Muscimol,23,PreCS,Infusion,Infusion,14,1.4375
Muscimol,23,PreCS,Infusion,Infusion,15,1
Muscimol,23,PreCS,No Infusion,NoInfusion,16,1.5
Muscimol,23,PreCS,No Infusion,NoInfusion,17,3.75
Muscimol,23,PreCS,Post,PostAcquisition,Post,0.8125
Muscimol,25,CS,Acquisition,Acquisition,1,3.8125
Muscimol,25,CS,Acquisition,Acquisition,2,5.625
Muscimol,25,CS,Acquisition,Acquisition,3,6.0625
Muscimol,25,CS,Acquisition,Acquisition,4,7.1875
Muscimol,25,CS,Acquisition,Acquisition,5,6.25
Muscimol,25,CS,Acquisition,Acquisition,6,6.5
Muscimol,25,CS,Acquisition,Acquisition,7,7.75
Muscimol,25,CS,Acquisition,Acquisition,8,8.8125
Muscimol,25,CS,Acquisition,Acquisition,9,10.0625
Muscimol,25,CS,Infusion,Infusion,12,5.5
Muscimol,25,CS,Infusion,Infusion,13,3.5625
Muscimol,25,CS,Infusion,Infusion,14,8.5
Muscimol,25,CS,Infusion,Infusion,15,6.75
Muscimol,25,CS,No Infusion,NoInfusion,16,4.75
Muscimol,25,CS,No Infusion,NoInfusion,17,10
Muscimol,25,CS,Post,PostAcquisition,Post,4.71875
Muscimol,25,CSPre,Acquisition,Acquisition,1,1.625
Muscimol,25,CSPre,Acquisition,Acquisition,2,3.5
Muscimol,25,CSPre,Acquisition,Acquisition,3,3.4375
Muscimol,25,CSPre,Acquisition,Acquisition,4,5.9375
Muscimol,25,CSPre,Acquisition,Acquisition,5,4.6875
Muscimol,25,CSPre,Acquisition,Acquisition,6,5.0625
Muscimol,25,CSPre,Acquisition,Acquisition,7,6.875
Muscimol,25,CSPre,Acquisition,Acquisition,8,8.0625
Muscimol,25,CSPre,Acquisition,Acquisition,9,8.625
Muscimol,25,CSPre,Infusion,Infusion,12,5.25
Muscimol,25,CSPre,Infusion,Infusion,13,2.1875
