Group,Subject,Hunger,Period,Trial,MagEntries
Sham,4,Hungry,Reinstatement,12,0
Sham,4,Hungry,Reinstatement,13,0
Sham,4,Hungry,Reinstatement,14,0
Sham,4,Hungry,Reinstatement,15,0
Sham,4,Hungry,Reinstatement,16,0
Sham,5,Satiety,Extinction,1,6
Sham,5,Satiety,Extinction,2,4
Sham,5,Satiety,Extinction,3,2
Sham,5,Satiety,Extinction,4,0
Sham,5,Satiety,Extinction,5,2
Sham,5,Satiety,Extinction,6,4
Sham,5,Satiety,Extinction,7,5
Sham,5,Satiety,Extinction,8,0
Sham,5,Satiety,Extinction,9,0
Sham,5,Satiety,Extinction,10,0
Sham,5,Satiety,Extinction,11,2
Sham,5,Satiety,Extinction,12,2
Sham,5,Satiety,Extinction,13,3
Sham,5,Satiety,Extinction,14,0
Sham,5,Satiety,Extinction,15,1
Sham,5,Satiety,Extinction,16,0
Sham,5,Hungry,Extinction,1,3
Sham,5,Hungry,Extinction,2,2
Sham,5,Hungry,Extinction,3,5
Sham,5,Hungry,Extinction,4,4
Sham,5,Hungry,Extinction,5,0
Sham,5,Hungry,Extinction,6,0
Sham,5,Hungry,Extinction,7,0
Sham,5,Hungry,Extinction,8,0
Sham,5,Hungry,Extinction,9,0
Sham,5,Hungry,Extinction,10,0
Sham,5,Hungry,Extinction,11,0
Sham,5,Hungry,Extinction,12,0
Sham,5,Hungry,Extinction,13,0
Sham,5,Hungry,Extinction,14,0
Sham,5,Hungry,Extinction,15,-2
Sham,5,Hungry,Extinction,16,0
Sham,5,Hungry,Reinstatement,1,6
Sham,5,Hungry,Reinstatement,2,5
Sham,5,Hungry,Reinstatement,3,2
Sham,5,Hungry,Reinstatement,4,1
Sham,5,Hungry,Reinstatement,5,0
Sham,5,Hungry,Reinstatement,6,-1
Sham,5,Hungry,Reinstatement,7,1
Sham,5,Hungry,Reinstatement,8,0
Sham,5,Hungry,Reinstatement,9,1
Sham,5,Hungry,Reinstatement,10,1
Sham,5,Hungry,Reinstatement,11,0
Sham,5,Hungry,Reinstatement,12,0
Sham,5,Hungry,Reinstatement,13,0
Sham,5,Hungry,Reinstatement,14,0
Sham,5,Hungry,Reinstatement,15,0
Sham,5,Hungry,Reinstatement,16,0
Sham,6,Satiety,Extinction,1,3
Sham,6,Satiety,Extinction,2,8
Sham,6,Satiety,Extinction,3,0
Sham,6,Satiety,Extinction,4,2
Sham,6,Satiety,Extinction,5,0
Sham,6,Satiety,Extinction,6,0
Sham,6,Satiety,Extinction,7,0
Sham,6,Satiety,Extinction,8,5
Sham,6,Satiety,Extinction,9,3
Sham,6,Satiety,Extinction,10,1
Sham,6,Satiety,Extinction,11,0
Sham,6,Satiety,Extinction,12,0
Sham,6,Satiety,Extinction,13,0
Sham,6,Satiety,Extinction,14,1
Sham,6,Satiety,Extinction,15,0
Sham,6,Satiety,Extinction,16,0
Sham,6,Hungry,Extinction,1,4
Sham,6,Hungry,Extinction,2,17
Sham,6,Hungry,Extinction,3,4
Sham,6,Hungry,Extinction,4,0
Sham,6,Hungry,Extinction,5,0
Sham,6,Hungry,Extinction,6,0
Sham,6,Hungry,Extinction,7,-1
Sham,6,Hungry,Extinction,8,3
Sham,6,Hungry,Extinction,9,0
Sham,6,Hungry,Extinction,10,1
Sham,6,Hungry,Extinction,11,0
Sham,6,Hungry,Extinction,12,0
Sham,6,Hungry,Extinction,13,0
Sham,6,Hungry,Extinction,14,0
Sham,6,Hungry,Extinction,15,0
Sham,6,Hungry,Extinction,16,0
Sham,6,Hungry,Reinstatement,1,9
Sham,6,Hungry,Reinstatement,2,2
Sham,6,Hungry,Reinstatement,3,0
Sham,6,Hungry,Reinstatement,4,0
Sham,6,Hungry,Reinstatement,5,0
Sham,6,Hungry,Reinstatement,6,0
Sham,6,Hungry,Reinstatement,7,10
Sham,6,Hungry,Reinstatement,8,0
Sham,6,Hungry,Reinstatement,9,0
Sham,6,Hungry,Reinstatement,10,0
Sham,6,Hungry,Reinstatement,11,0
Sham,6,Hungry,Reinstatement,12,0
Sham,6,Hungry,Reinstatement,13,0
Sham,6,Hungry,Reinstatement,14,0
Sham,6,Hungry,Reinstatement,15,0
Sham,6,Hungry,Reinstatement,16,0
Sham,7,Satiety,Extinction,1,30
Sham,7,Satiety,Extinction,2,4
Sham,7,Satiety,Extinction,3,3
Sham,7,Satiety,Extinction,4,0
Sham,7,Satiety,Extinction,5,2
Sham,7,Satiety,Extinction,6,3
Sham,7,Satiety,Extinction,7,0
Sham,7,Satiety,Extinction,8,2
Sham,7,Satiety,Extinction,9,0
Sham,7,Satiety,Extinction,10,0
Sham,7,Satiety,Extinction,11,0
Sham,7,Satiety,Extinction,12,0
Sham,7,Satiety,Extinction,13,0
Sham,7,Satiety,Extinction,14,0
Sham,7,Satiety,Extinction,15,0
Sham,7,Satiety,Extinction,16,0
Sham,7,Hungry,Extinction,1,8
Sham,7,Hungry,Extinction,2,0
Sham,7,Hungry,Extinction,3,1
Sham,7,Hungry,Extinction,4,0
Sham,7,Hungry,Extinction,5,0
Sham,7,Hungry,Extinction,6,0
Sham,7,Hungry,Extinction,7,0
Sham,7,Hungry,Extinction,8,0
Sham,7,Hungry,Extinction,9,0
Sham,7,Hungry,Extinction,10,0
Sham,7,Hungry,Extinction,11,0
Sham,7,Hungry,Extinction,12,0
Sham,7,Hungry,Extinction,13,0
Sham,7,Hungry,Extinction,14,0
Sham,7,Hungry,Extinction,15,0
Sham,7,Hungry,Extinction,16,13
Sham,7,Hungry,Reinstatement,1,13
Sham,7,Hungry,Reinstatement,2,6
Sham,7,Hungry,Reinstatement,3,4
Sham,7,Hungry,Reinstatement,4,0
Sham,7,Hungry,Reinstatement,5,0
Sham,7,Hungry,Reinstatement,6,5
Sham,7,Hungry,Reinstatement,7,0
Sham,7,Hungry,Reinstatement,8,1
Sham,7,Hungry,Reinstatement,9,0
Sham,7,Hungry,Reinstatement,10,0
Sham,7,Hungry,Reinstatement,11,0
Sham,7,Hungry,Reinstatement,12,1
Sham,7,Hungry,Reinstatement,13,0
Sham,7,Hungry,Reinstatement,14,0
Sham,7,Hungry,Reinstatement,15,0
Sham,7,Hungry,Reinstatement,16,0
Sham,8,Satiety,Extinction,1,13
Sham,8,Satiety,Extinction,2,8
Sham,8,Satiety,Extinction,3,19
Sham,8,Satiety,Extinction,4,8
Sham,8,Satiety,Extinction,5,9
Sham,8,Satiety,Extinction,6,2
Sham,8,Satiety,Extinction,7,2
Sham,8,Satiety,Extinction,8,0
Sham,8,Satiety,Extinction,9,0
Sham,8,Satiety,Extinction,10,0
Sham,8,Satiety,Extinction,11,0
Sham,8,Satiety,Extinction,12,0
Sham,8,Satiety,Extinction,13,0
Sham,8,Satiety,Extinction,14,0
Sham,8,Satiety,Extinction,15,0
Sham,8,Satiety,Extinction,16,0
Sham,8,Hungry,Extinction,1,18
Sham,8,Hungry,Extinction,2,9
Sham,8,Hungry,Extinction,3,11
Sham,8,Hungry,Extinction,4,0
Sham,8,Hungry,Extinction,5,0
Sham,8,Hungry,Extinction,6,2
Sham,8,Hungry,Extinction,7,1
Sham,8,Hungry,Extinction,8,0
Sham,8,Hungry,Extinction,9,2
Sham,8,Hungry,Extinction,10,-2
Sham,8,Hungry,Extinction,11,1
Sham,8,Hungry,Extinction,12,0
Sham,8,Hungry,Extinction,13,0
Sham,8,Hungry,Extinction,14,0
Sham,8,Hungry,Extinction,15,0
Sham,8,Hungry,Extinction,16,2
Sham,8,Hungry,Reinstatement,1,31
Sham,8,Hungry,Reinstatement,2,10
Sham,8,Hungry,Reinstatement,3,5
Sham,8,Hungry,Reinstatement,4,1
Sham,8,Hungry,Reinstatement,5,0
Sham,8,Hungry,Reinstatement,6,0
Sham,8,Hungry,Reinstatement,7,0
Sham,8,Hungry,Reinstatement,8,-2
Sham,8,Hungry,Reinstatement,9,5
Sham,8,Hungry,Reinstatement,10,1
Sham,8,Hungry,Reinstatement,11,1
Sham,8,Hungry,Reinstatement,12,0
Sham,8,Hungry,Reinstatement,13,0
Sham,8,Hungry,Reinstatement,14,0
Sham,8,Hungry,Reinstatement,15,4
Sham,8,Hungry,Reinstatement,16,3
Lesion,9,Satiety,Extinction,1,11
Lesion,9,Satiety,Extinction,2,0
Lesion,9,Satiety,Extinction,3,2
Lesion,9,Satiety,Extinction,4,0
Lesion,9,Satiety,Extinction,5,0
Lesion,9,Satiety,Extinction,6,0
Lesion,9,Satiety,Extinction,7,0
Lesion,9,Satiety,Extinction,8,0
Lesion,9,Satiety,Extinction,9,0
Lesion,9,Satiety,Extinction,10,0
Lesion,9,Satiety,Extinction,11,0
Lesion,9,Satiety,Extinction,12,0
Lesion,9,Satiety,Extinction,13,0
Lesion,9,Satiety,Extinction,14,0
Lesion,9,Satiety,Extinction,15,0
Lesion,9,Satiety,Extinction,16,0
Lesion,9,Hungry,Extinction,1,9
Lesion,9,Hungry,Extinction,2,0
Lesion,9,Hungry,Extinction,3,2
Lesion,9,Hungry,Extinction,4,1
Lesion,9,Hungry,Extinction,5,0
Lesion,9,Hungry,Extinction,6,0
Lesion,9,Hungry,Extinction,7,0
Lesion,9,Hungry,Extinction,8,0
Lesion,9,Hungry,Extinction,9,0
Lesion,9,Hungry,Extinction,10,-1
Lesion,9,Hungry,Extinction,11,0
Lesion,9,Hungry,Extinction,12,0
Lesion,9,Hungry,Extinction,13,0
Lesion,9,Hungry,Extinction,14,0
Lesion,9,Hungry,Extinction,15,-3
Lesion,9,Hungry,Extinction,16,0
Lesion,9,Hungry,Reinstatement,1,9
Lesion,9,Hungry,Reinstatement,2,0
Lesion,9,Hungry,Reinstatement,3,0
Lesion,9,Hungry,Reinstatement,4,0
Lesion,9,Hungry,Reinstatement,5,0
Lesion,9,Hungry,Reinstatement,6,0
Lesion,9,Hungry,Reinstatement,7,0
Lesion,9,Hungry,Reinstatement,8,1
Lesion,9,Hungry,Reinstatement,9,-1
Lesion,9,Hungry,Reinstatement,10,1
Lesion,9,Hungry,Reinstatement,11,0
Lesion,9,Hungry,Reinstatement,12,0
Lesion,9,Hungry,Reinstatement,13,0
Lesion,9,Hungry,Reinstatement,14,0
Lesion,9,Hungry,Reinstatement,15,0
Lesion,9,Hungry,Reinstatement,16,0
Lesion,10,Satiety,Extinction,1,12
Lesion,10,Satiety,Extinction,2,0
Lesion,10,Satiety,Extinction,3,6
Lesion,10,Satiety,Extinction,4,6
Lesion,10,Satiety,Extinction,5,5
Lesion,10,Satiety,Extinction,6,4
Lesion,10,Satiety,Extinction,7,4
Lesion,10,Satiety,Extinction,8,0
Lesion,10,Satiety,Extinction,9,0
Lesion,10,Satiety,Extinction,10,7
Lesion,10,Satiety,Extinction,11,0
Lesion,10,Satiety,Extinction,12,0
Lesion,10,Satiety,Extinction,13,3
Lesion,10,Satiety,Extinction,14,0
Lesion,10,Satiety,Extinction,15,0
Lesion,10,Satiety,Extinction,16,2
Lesion,10,Hungry,Extinction,1,8
Lesion,10,Hungry,Extinction,2,4
Lesion,10,Hungry,Extinction,3,-1
Lesion,10,Hungry,Extinction,4,12
Lesion,10,Hungry,Extinction,5,1
Lesion,10,Hungry,Extinction,6,3
Lesion,10,Hungry,Extinction,7,0
Lesion,10,Hungry,Extinction,8,3
Lesion,10,Hungry,Extinction,9,-5
Lesion,10,Hungry,Extinction,10,10
Lesion,10,Hungry,Extinction,11,7
Lesion,10,Hungry,Extinction,12,3
Lesion,10,Hungry,Extinction,13,0
Lesion,10,Hungry,Extinction,14,1
Lesion,10,Hungry,Extinction,15,1
Lesion,10,Hungry,Extinction,16,1
Lesion,10,Hungry,Reinstatement,1,-1
Lesion,10,Hungry,Reinstatement,2,0
Lesion,10,Hungry,Reinstatement,3,-1
Lesion,10,Hungry,Reinstatement,4,0
Lesion,10,Hungry,Reinstatement,5,0
Lesion,10,Hungry,Reinstatement,6,2
Lesion,10,Hungry,Reinstatement,7,1
Lesion,10,Hungry,Reinstatement,8,1
Lesion,10,Hungry,Reinstatement,9,0
Lesion,10,Hungry,Reinstatement,10,0
Lesion,10,Hungry,Reinstatement,11,2
Lesion,10,Hungry,Reinstatement,12,0
Lesion,10,Hungry,Reinstatement,13,0
Lesion,10,Hungry,Reinstatement,14,0
Lesion,10,Hungry,Reinstatement,15,0
Lesion,10,Hungry,Reinstatement,16,0
Lesion,11,Satiety,Extinction,1,18
Lesion,11,Satiety,Extinction,2,0
Lesion,11,Satiety,Extinction,3,5
Lesion,11,Satiety,Extinction,4,3
Lesion,11,Satiety,Extinction,5,3
Lesion,11,Satiety,Extinction,6,0
Lesion,11,Satiety,Extinction,7,3
Lesion,11,Satiety,Extinction,8,0
Lesion,11,Satiety,Extinction,9,0
Lesion,11,Satiety,Extinction,10,0
Lesion,11,Satiety,Extinction,11,0
Lesion,11,Satiety,Extinction,12,0
Lesion,11,Satiety,Extinction,13,0
Lesion,11,Satiety,Extinction,14,2
Lesion,11,Satiety,Extinction,15,0
Lesion,11,Satiety,Extinction,16,0
Lesion,11,Hungry,Extinction,1,14
Lesion,11,Hungry,Extinction,2,15
Lesion,11,Hungry,Extinction,3,5
Lesion,11,Hungry,Extinction,4,7
Lesion,11,Hungry,Extinction,5,-1
Lesion,11,Hungry,Extinction,6,0
Lesion,11,Hungry,Extinction,7,0
Lesion,11,Hungry,Extinction,8,0
Lesion,11,Hungry,Extinction,9,0
Lesion,11,Hungry,Extinction,10,0
Lesion,11,Hungry,Extinction,11,0
Lesion,11,Hungry,Extinction,12,0
Lesion,11,Hungry,Extinction,13,0
Lesion,11,Hungry,Extinction,14,0
Lesion,11,Hungry,Extinction,15,0
Lesion,11,Hungry,Extinction,16,0
Lesion,11,Hungry,Reinstatement,1,0
Lesion,11,Hungry,Reinstatement,2,1
Lesion,11,Hungry,Reinstatement,3,11
Lesion,11,Hungry,Reinstatement,4,3
Lesion,11,Hungry,Reinstatement,5,4
Lesion,11,Hungry,Reinstatement,6,5
Lesion,11,Hungry,Reinstatement,7,0
Lesion,11,Hungry,Reinstatement,8,2
Lesion,11,Hungry,Reinstatement,9,0
Lesion,11,Hungry,Reinstatement,10,0
Lesion,11,Hungry,Reinstatement,11,1
Lesion,11,Hungry,Reinstatement,12,0
Lesion,11,Hungry,Reinstatement,13,0
Lesion,11,Hungry,Reinstatement,14,0
Lesion,11,Hungry,Reinstatement,15,0
Lesion,11,Hungry,Reinstatement,16,0
Lesion,12,Satiety,Extinction,1,13
Lesion,12,Satiety,Extinction,2,8
Lesion,12,Satiety,Extinction,3,4
Lesion,12,Satiety,Extinction,4,1
Lesion,12,Satiety,Extinction,5,0
Lesion,12,Satiety,Extinction,6,0
Lesion,12,Satiety,Extinction,7,0
Lesion,12,Satiety,Extinction,8,0
Lesion,12,Satiety,Extinction,9,0
Lesion,12,Satiety,Extinction,10,0
Lesion,12,Satiety,Extinction,11,0
Lesion,12,Satiety,Extinction,12,0
Lesion,12,Satiety,Extinction,13,0
Lesion,12,Satiety,Extinction,14,0
Lesion,12,Satiety,Extinction,15,0
Lesion,12,Satiety,Extinction,16,0
Lesion,12,Hungry,Extinction,1,8
Lesion,12,Hungry,Extinction,2,6
Lesion,12,Hungry,Extinction,3,7
Lesion,12,Hungry,Extinction,4,3
Lesion,12,Hungry,Extinction,5,2
Lesion,12,Hungry,Extinction,6,3
Lesion,12,Hungry,Extinction,7,4
Lesion,12,Hungry,Extinction,8,5
Lesion,12,Hungry,Extinction,9,4
Lesion,12,Hungry,Extinction,10,0
Lesion,12,Hungry,Extinction,11,6
Lesion,12,Hungry,Extinction,12,3
Lesion,12,Hungry,Extinction,13,2
Lesion,12,Hungry,Extinction,14,2
Lesion,12,Hungry,Extinction,15,0
Lesion,12,Hungry,Extinction,16,0
Lesion,12,Hungry,Reinstatement,1,10
Lesion,12,Hungry,Reinstatement,2,3
Lesion,12,Hungry,Reinstatement,3,3
Lesion,12,Hungry,Reinstatement,4,3
Lesion,12,Hungry,Reinstatement,5,3
Lesion,12,Hungry,Reinstatement,6,3
Lesion,12,Hungry,Reinstatement,7,0
Lesion,12,Hungry,Reinstatement,8,2
Lesion,12,Hungry,Reinstatement,9,3
Lesion,12,Hungry,Reinstatement,10,4
Lesion,12,Hungry,Reinstatement,11,5
Lesion,12,Hungry,Reinstatement,12,2
Lesion,12,Hungry,Reinstatement,13,2
Lesion,12,Hungry,Reinstatement,14,2
Lesion,12,Hungry,Reinstatement,15,1
Lesion,12,Hungry,Reinstatement,16,1
Lesion,14,Satiety,Extinction,1,16
Lesion,14,Satiety,Extinction,2,14
Lesion,14,Satiety,Extinction,3,10
Lesion,14,Satiety,Extinction,4,13
Lesion,14,Satiety,Extinction,5,7
Lesion,14,Satiety,Extinction,6,0
Lesion,14,Satiety,Extinction,7,0
Lesion,14,Satiety,Extinction,8,0
Lesion,14,Satiety,Extinction,9,0
Lesion,14,Satiety,Extinction,10,0
Lesion,14,Satiety,Extinction,11,0
Lesion,14,Satiety,Extinction,12,0
Lesion,14,Satiety,Extinction,13,0
Lesion,14,Satiety,Extinction,14,0
Lesion,14,Satiety,Extinction,15,0
Lesion,14,Satiety,Extinction,16,0
Lesion,14,Hungry,Extinction,1,11
Lesion,14,Hungry,Extinction,2,13
Lesion,14,Hungry,Extinction,3,8
Lesion,14,Hungry,Extinction,4,1
Lesion,14,Hungry,Extinction,5,1
Lesion,14,Hungry,Extinction,6,1
Lesion,14,Hungry,Extinction,7,1
Lesion,14,Hungry,Extinction,8,0
Lesion,14,Hungry,Extinction,9,0
Lesion,14,Hungry,Extinction,10,-2
Lesion,14,Hungry,Extinction,11,0
Lesion,14,Hungry,Extinction,12,0
Lesion,14,Hungry,Extinction,13,5
Lesion,14,Hungry,Extinction,14,0
Lesion,14,Hungry,Extinction,15,0
Lesion,14,Hungry,Extinction,16,0
Lesion,14,Hungry,Reinstatement,1,18
Lesion,14,Hungry,Reinstatement,2,3
Lesion,14,Hungry,Reinstatement,3,11
Lesion,14,Hungry,Reinstatement,4,0
Lesion,14,Hungry,Reinstatement,5,0
Lesion,14,Hungry,Reinstatement,6,3
Lesion,14,Hungry,Reinstatement,7,0
Lesion,14,Hungry,Reinstatement,8,0
Lesion,14,Hungry,Reinstatement,9,1
Lesion,14,Hungry,Reinstatement,10,0
Lesion,14,Hungry,Reinstatement,11,0
Lesion,14,Hungry,Reinstatement,12,1
Lesion,14,Hungry,Reinstatement,13,0
Lesion,14,Hungry,Reinstatement,14,-1
Lesion,14,Hungry,Reinstatement,15,0
Lesion,14,Hungry,Reinstatement,16,0
Lesion,15,Satiety,Extinction,1,9
Lesion,15,Satiety,Extinction,2,13
Lesion,15,Satiety,Extinction,3,2
Lesion,15,Satiety,Extinction,4,8
Lesion,15,Satiety,Extinction,5,3
Lesion,15,Satiety,Extinction,6,3
Lesion,15,Satiety,Extinction,7,1
Lesion,15,Satiety,Extinction,8,0
Lesion,15,Satiety,Extinction,9,0
Lesion,15,Satiety,Extinction,10,0
Lesion,15,Satiety,Extinction,11,0
Lesion,15,Satiety,Extinction,12,0
Lesion,15,Satiety,Extinction,13,0
Lesion,15,Satiety,Extinction,14,0
Lesion,15,Satiety,Extinction,15,0
Lesion,15,Satiety,Extinction,16,0
Lesion,15,Hungry,Extinction,1,4
Lesion,15,Hungry,Extinction,2,8
Lesion,15,Hungry,Extinction,3,9
Lesion,15,Hungry,Extinction,4,6
Lesion,15,Hungry,Extinction,5,0
Lesion,15,Hungry,Extinction,6,1
Lesion,15,Hungry,Extinction,7,1
Lesion,15,Hungry,Extinction,8,10
Lesion,15,Hungry,Extinction,9,5
Lesion,15,Hungry,Extinction,10,1
Lesion,15,Hungry,Extinction,11,0
Lesion,15,Hungry,Extinction,12,0
Lesion,15,Hungry,Extinction,13,0
Lesion,15,Hungry,Extinction,14,0
Lesion,15,Hungry,Extinction,15,1
Lesion,15,Hungry,Extinction,16,1
Lesion,15,Hungry,Reinstatement,1,11
Lesion,15,Hungry,Reinstatement,2,5
Lesion,15,Hungry,Reinstatement,3,1
Lesion,15,Hungry,Reinstatement,4,3
Lesion,15,Hungry,Reinstatement,5,0
