Group,Subject,Stage,Period,DayBlock,MagEntries
Lesion,18,Pre-Surgery,CSPre,1,0.854166667
Lesion,18,Pre-Surgery,CSPre,2,8.020833333
Lesion,18,Pre-Surgery,CSPre,3,8.395833333
Lesion,18,Post-Surgery,CSPre,4,4.9375
Lesion,18,Post-Surgery,CSPre,5,5.5625
Lesion,18,Post-Surgery,CSPre,6,6.4375
Lesion,21,PreOp,PreCS,1,3.125
Lesion,21,PreOp,PreCS,2,0.979166667
Lesion,21,PreOp,PreCS,3,1.520833333
Lesion,21,PostOp,PreCS,4,1.395833333
Lesion,21,PostOp,PreCS,5,1.9375
Lesion,21,PostOp,PreCS,6,3.645833333
Lesion,21,PreOp,CS,1,4.9375
Lesion,21,PreOp,CS,2,6.4375
Lesion,21,PreOp,CS,3,7.104166667
Lesion,21,PostOp,CS,4,9.583333333
Lesion,21,PostOp,CS,5,11.125
Lesion,21,PostOp,CS,6,10.0625
Lesion,21,Pre-Surgery,CSPre,1,1.8125
Lesion,21,Pre-Surgery,CSPre,2,5.458333333
Lesion,21,Pre-Surgery,CSPre,3,5.583333333
Lesion,21,Post-Surgery,CSPre,4,8.1875
Lesion,21,Post-Surgery,CSPre,5,9.1875
Lesion,21,Post-Surgery,CSPre,6,6.416666667
Lesion,24,PreOp,PreCS,1,1.395833333
Lesion,24,PreOp,PreCS,2,1.479166667
Lesion,24,PreOp,PreCS,3,1.770833333
Lesion,24,PostOp,PreCS,4,1.333333333
Lesion,24,PostOp,PreCS,5,2.0625
Lesion,24,PostOp,PreCS,6,3.333333333
Lesion,24,PreOp,CS,1,3.416666667
Lesion,24,PreOp,CS,2,7.0625
Lesion,24,PreOp,CS,3,7.208333333
Lesion,24,PostOp,CS,4,7.5625
Lesion,24,PostOp,CS,5,7.458333333
Lesion,24,PostOp,CS,6,7.6875
Lesion,24,Pre-Surgery,CSPre,1,2.020833333
Lesion,24,Pre-Surgery,CSPre,2,5.583333333
Lesion,24,Pre-Surgery,CSPre,3,5.4375
Lesion,24,Post-Surgery,CSPre,4,6.229166667
Lesion,24,Post-Surgery,CSPre,5,5.395833333
Lesion,24,Post-Surgery,CSPre,6,4.354166667
Sham,2,PreOp,PreCS,1,1.25
Sham,2,PreOp,PreCS,2,0.520833333
Sham,2,PreOp,PreCS,3,3.625
Sham,2,PostOp,PreCS,4,0.875
Sham,2,PostOp,PreCS,5,2.791666667
Sham,2,PostOp,PreCS,6,5.979166667
Sham,2,PreOp,CS,1,2.375
Sham,2,PreOp,CS,2,4.229166667
Sham,2,PreOp,CS,3,6.270833333
Sham,2,PostOp,CS,4,9.6875
Sham,2,PostOp,CS,5,13.58333333
Sham,2,PostOp,CS,6,15.77083333
Sham,2,Pre-Surgery,CSPre,1,1.125
Sham,2,Pre-Surgery,CSPre,2,3.708333333
Sham,2,Pre-Surgery,CSPre,3,2.645833333
Sham,2,Post-Surgery,CSPre,4,8.8125
Sham,2,Post-Surgery,CSPre,5,10.79166667
Sham,2,Post-Surgery,CSPre,6,9.791666667
Sham,3,PreOp,PreCS,1,2.083333333
Sham,3,PreOp,PreCS,2,1.270833333
Sham,3,PreOp,PreCS,3,0.770833333
Sham,3,PostOp,PreCS,4,1.395833333
Sham,3,PostOp,PreCS,5,1.020833333
Sham,3,PostOp,PreCS,6,1.916666667
Sham,3,PreOp,CS,1,3.5625
Sham,3,PreOp,CS,2,4.583333333
Sham,3,PreOp,CS,3,5.604166667
Sham,3,PostOp,CS,4,5.791666667
Sham,3,PostOp,CS,5,4.708333333
Sham,3,PostOp,CS,6,5.083333333
Sham,3,Pre-Surgery,CSPre,1,1.479166667
Sham,3,Pre-Surgery,CSPre,2,3.3125
Sham,3,Pre-Surgery,CSPre,3,4.833333333
Sham,3,Post-Surgery,CSPre,4,4.395833333
Sham,3,Post-Surgery,CSPre,5,3.6875
Sham,3,Post-Surgery,CSPre,6,3.166666667
Sham,5,PreOp,PreCS,1,2.979166667
Sham,5,PreOp,PreCS,2,2.4375
Sham,5,PreOp,PreCS,3,2.270833333
Sham,5,PostOp,PreCS,4,1.875
Sham,5,PostOp,PreCS,5,1.708333333
Sham,5,PostOp,PreCS,6,7.416666667
Sham,5,PreOp,CS,1,2.708333333
Sham,5,PreOp,CS,2,5.166666667
Sham,5,PreOp,CS,3,5.8125
Sham,5,PostOp,CS,4,9.125
Sham,5,PostOp,CS,5,11.625
Sham,5,PostOp,CS,6,15.52083333
Sham,5,Pre-Surgery,CSPre,1,-0.270833333
Sham,5,Pre-Surgery,CSPre,2,2.729166667
Sham,5,Pre-Surgery,CSPre,3,3.541666667
Sham,5,Post-Surgery,CSPre,4,7.25
Sham,5,Post-Surgery,CSPre,5,9.916666667
Sham,5,Post-Surgery,CSPre,6,8.104166667
Sham,8,PreOp,PreCS,1,2.729166667
Sham,8,PreOp,PreCS,2,1.291666667
Sham,8,PreOp,PreCS,3,1.020833333
Sham,8,PostOp,PreCS,4,1.4375
Sham,8,PostOp,PreCS,5,1.458333333
Sham,8,PostOp,PreCS,6,1.0625
Sham,8,PreOp,CS,1,2.875
Sham,8,PreOp,CS,2,5.458333333
Sham,8,PreOp,CS,3,6.6875
Sham,8,PostOp,CS,4,7.833333333
Sham,8,PostOp,CS,5,7.083333333
Sham,8,PostOp,CS,6,8.125
Sham,8,Pre-Surgery,CSPre,1,0.145833333
Sham,8,Pre-Surgery,CSPre,2,4.166666667
Sham,8,Pre-Surgery,CSPre,3,5.666666667
Sham,8,Post-Surgery,CSPre,4,6.395833333
Sham,8,Post-Surgery,CSPre,5,5.625
Sham,8,Post-Surgery,CSPre,6,7.0625
Sham,9,PreOp,PreCS,1,1.541666667
Sham,9,PreOp,PreCS,2,0.291666667
Sham,9,PreOp,PreCS,3,1
Sham,9,PostOp,PreCS,4,0.729166667
Sham,9,PostOp,PreCS,5,0.5625
Sham,9,PostOp,PreCS,6,1.458333333
Sham,9,PreOp,CS,1,1.729166667
Sham,9,PreOp,CS,2,1.104166667
Sham,9,PreOp,CS,3,1.875
Sham,9,PostOp,CS,4,3.770833333
Sham,9,PostOp,CS,5,3.479166667
Sham,9,PostOp,CS,6,4.395833333
Sham,9,Pre-Surgery,CSPre,1,0.1875
Sham,9,Pre-Surgery,CSPre,2,0.8125
Sham,9,Pre-Surgery,CSPre,3,0.875
Sham,9,Post-Surgery,CSPre,4,3.041666667
Sham,9,Post-Surgery,CSPre,5,2.916666667
Sham,9,Post-Surgery,CSPre,6,2.9375
Sham,13,PreOp,PreCS,1,2.125
Sham,13,PreOp,PreCS,2,0.895833333
Sham,13,PreOp,PreCS,3,0.541666667
Sham,13,PostOp,PreCS,4,1.145833333
Sham,13,PostOp,PreCS,5,0.916666667
Sham,13,PostOp,PreCS,6,1.3125
Sham,13,PreOp,CS,1,5.229166667
Sham,13,PreOp,CS,2,6.1875
Sham,13,PreOp,CS,3,6
Sham,13,PostOp,CS,4,5.895833333
Sham,13,PostOp,CS,5,5.375
Sham,13,PostOp,CS,6,5.833333333
Sham,13,Pre-Surgery,CSPre,1,3.104166667
Sham,13,Pre-Surgery,CSPre,2,5.291666667
Sham,13,Pre-Surgery,CSPre,3,5.458333333
Sham,13,Post-Surgery,CSPre,4,4.75
Sham,13,Post-Surgery,CSPre,5,4.458333333
Sham,13,Post-Surgery,CSPre,6,4.520833333
Sham,15,PreOp,PreCS,1,1.625
Sham,15,PreOp,PreCS,2,1.833333333
Sham,15,PreOp,PreCS,3,1.479166667
Sham,15,PostOp,PreCS,4,1.041666667
Sham,15,PostOp,PreCS,5,1.354166667
Sham,15,PostOp,PreCS,6,2.125
Sham,15,PreOp,CS,1,2.458333333
Sham,15,PreOp,CS,2,4.25
Sham,15,PreOp,CS,3,5.166666667
Sham,15,PostOp,CS,4,6.6875
Sham,15,PostOp,CS,5,7.666666667
Sham,15,PostOp,CS,6,7.729166667
Sham,15,Pre-Surgery,CSPre,1,0.833333333
Sham,15,Pre-Surgery,CSPre,2,2.416666667
Sham,15,Pre-Surgery,CSPre,3,3.6875
Sham,15,Post-Surgery,CSPre,4,5.645833333
Sham,15,Post-Surgery,CSPre,5,6.3125
Sham,15,Post-Surgery,CSPre,6,5.604166667
Sham,16,PreOp,PreCS,1,1.916666667
Sham,16,PreOp,PreCS,2,0.770833333
Sham,16,PreOp,PreCS,3,0.708333333
Sham,16,PostOp,PreCS,4,0.979166667
Sham,16,PostOp,PreCS,5,0.958333333
Sham,16,PostOp,PreCS,6,1.479166667
Sham,16,PreOp,CS,1,2.3125
Sham,16,PreOp,CS,2,2.166666667
Sham,16,PreOp,CS,3,3.979166667
Sham,16,PostOp,CS,4,4.770833333
Sham,16,PostOp,CS,5,6.083333333
Sham,16,PostOp,CS,6,7.6875
Sham,16,Pre-Surgery,CSPre,1,0.395833333
Sham,16,Pre-Surgery,CSPre,2,1.395833333
Sham,16,Pre-Surgery,CSPre,3,3.270833333
Sham,16,Post-Surgery,CSPre,4,3.791666667
Sham,16,Post-Surgery,CSPre,5,5.125
Sham,16,Post-Surgery,CSPre,6,6.208333333
Sham,17,PreOp,PreCS,1,2.583333333
Sham,17,PreOp,PreCS,2,2.395833333
Sham,17,PreOp,PreCS,3,1.395833333
Sham,17,PostOp,PreCS,4,0.1875
Sham,17,PostOp,PreCS,5,1.333333333
Sham,17,PostOp,PreCS,6,3.020833333
Sham,17,PreOp,CS,1,2.979166667
Sham,17,PreOp,CS,2,6.479166667
Sham,17,PreOp,CS,3,7.895833333
Sham,17,PostOp,CS,4,5.645833333
Sham,17,PostOp,CS,5,7.833333333
Sham,17,PostOp,CS,6,11.60416667
Sham,17,Pre-Surgery,CSPre,1,0.395833333
Sham,17,Pre-Surgery,CSPre,2,4.083333333
Sham,17,Pre-Surgery,CSPre,3,6.5
Sham,17,Post-Surgery,CSPre,4,5.458333333
Sham,17,Post-Surgery,CSPre,5,6.5
Sham,17,Post-Surgery,CSPre,6,8.583333333
Sham,19,PreOp,PreCS,1,2.125
Sham,19,PreOp,PreCS,2,2.125
Sham,19,PreOp,PreCS,3,2.229166667
Sham,19,PostOp,PreCS,4,0.583333333
Sham,19,PostOp,PreCS,5,0.3125
Sham,19,PostOp,PreCS,6,1.770833333
Sham,19,PreOp,CS,1,3.583333333
Sham,19,PreOp,CS,2,6.125
Sham,19,PreOp,CS,3,7.125
Sham,19,PostOp,CS,4,5.166666667
Sham,19,PostOp,CS,5,5.916666667
Sham,19,PostOp,CS,6,12.22916667
Sham,19,Pre-Surgery,CSPre,1,1.458333333
Sham,19,Pre-Surgery,CSPre,2,4
Sham,19,Pre-Surgery,CSPre,3,4.895833333
Sham,19,Post-Surgery,CSPre,4,4.583333333
Sham,19,Post-Surgery,CSPre,5,5.604166667
Sham,19,Post-Surgery,CSPre,6,10.45833333
Sham,20,PreOp,PreCS,1,1.8125
Sham,20,PreOp,PreCS,2,0.958333333
Sham,20,PreOp,PreCS,3,0.9375
Sham,20,PostOp,PreCS,4,1.916666667
Sham,20,PostOp,PreCS,5,1.375
Sham,20,PostOp,PreCS,6,1.916666667
Sham,20,PreOp,CS,1,4.104166667
Sham,20,PreOp,CS,2,6.75
Sham,20,PreOp,CS,3,7.0625
Sham,20,PostOp,CS,4,9.270833333
Sham,20,PostOp,CS,5,8.708333333
Sham,20,PostOp,CS,6,12.66666667
Sham,20,Pre-Surgery,CSPre,1,2.291666667
Sham,20,Pre-Surgery,CSPre,2,5.791666667
Sham,20,Pre-Surgery,CSPre,3,6.125
Sham,20,Post-Surgery,CSPre,4,7.354166667
Sham,20,Post-Surgery,CSPre,5,7.333333333
Sham,20,Post-Surgery,CSPre,6,10.75
Sham,22,PreOp,PreCS,1,2.291666667
Sham,22,PreOp,PreCS,2,1.479166667
Sham,22,PreOp,PreCS,3,1.4375
Sham,22,PostOp,PreCS,4,0.208333333
Sham,22,PostOp,PreCS,5,0.645833333
Sham,22,PostOp,PreCS,6,1.083333333
Sham,22,PreOp,CS,1,4.729166667
Sham,22,PreOp,CS,2,5.9375
Sham,22,PreOp,CS,3,6.604166667
Sham,22,PostOp,CS,4,4.708333333
Sham,22,PostOp,CS,5,6.25
Sham,22,PostOp,CS,6,8.625
Sham,22,Pre-Surgery,CSPre,1,2.4375
Sham,22,Pre-Surgery,CSPre,2,4.458333333
Sham,22,Pre-Surgery,CSPre,3,5.166666667
Sham,22,Post-Surgery,CSPre,4,4.5
Sham,22,Post-Surgery,CSPre,5,5.604166667
Sham,22,Post-Surgery,CSPre,6,7.541666667
