Subj,Delay,Drug,Accuracy,Latency_Sample,Latency_Choice
3_4,0,Veh,0.7,3,2
3_4,0,1mgkg,0.9,3,2
3_4,0,10mgkg,0.5,3.5,3
3_4,40,NoInj,0.8,3.5,2
3_4,40,Veh,0.7,3,2
3_4,40,1mgkg,0.7,3,2
3_4,40,10mgkg,0.9,4,2.5
4_1,0,NoInj,1,3,3
4_1,0,Veh,0.8,4,3
4_1,0,1mgkg,1,3,3.5
4_1,0,10mgkg,0.5,3,3.5
4_1,40,NoInj,0.5,3,2
4_1,40,Veh,0.6,4,2.5
4_1,40,1mgkg,0.7,4,2
4_1,40,10mgkg,0.5,3,2
4_2,0,NoInj,1,2.5,3
4_2,0,Veh,0.9,3,3
4_2,0,1mgkg,1,3,3
4_2,0,10mgkg,1,3.5,3
4_2,40,NoInj,0.7,3,2
4_2,40,Veh,0.8,2.5,2
4_2,40,1mgkg,0.8,3,2
4_2,40,10mgkg,0.4,3,2.5
4_3,0,NoInj,0.9,3,3
4_3,0,Veh,0.7,3.5,3
4_3,0,1mgkg,0.8,3,2.5
4_3,0,10mgkg,0.7,4,3
4_3,40,NoInj,0.6,3,2.5
4_3,40,Veh,0.3,3,2
4_3,40,1mgkg,0.5,3,3
4_3,40,10mgkg,0.8,4,2.5
4_4,0,NoInj,0.6,3,3
4_4,0,Veh,0.9,3,4
4_4,0,1mgkg,1,3,3
4_4,0,10mgkg,0.7,3.5,3
4_4,40,NoInj,0.4,3,2
4_4,40,Veh,0.5,3,2
4_4,40,1mgkg,0.6,3,2
4_4,40,10mgkg,0.6,3.5,3
5_1,0,NoInj,0.8,2,2
5_1,0,Veh,1,2,2
5_1,0,1mgkg,0.7,2,2
5_1,0,10mgkg,0.7,3.5,3
5_1,40,NoInj,0.4,3,2
5_1,40,Veh,0.7,2,2
5_1,40,1mgkg,0.5,2,1.5
5_1,40,10mgkg,0.5,3,2
5_2,0,NoInj,0.6,3,2
5_2,0,Veh,0.9,3,2
5_2,0,1mgkg,0.3,2.5,2
5_2,0,10mgkg,0.6,3,2
5_2,40,NoInj,0.6,3,2
5_2,40,Veh,0.5,2.5,2
5_2,40,1mgkg,0.5,2,2
5_2,40,10mgkg,0.4,3.5,2
5_3,0,NoInj,0.9,2,2
5_3,0,Veh,0.7,2.5,2
5_3,0,1mgkg,0.6,3,2
5_3,0,10mgkg,0.8,3,2
5_3,40,NoInj,0.6,3,2
5_3,40,Veh,0.6,2.5,2
5_3,40,1mgkg,0.5,3,2
5_3,40,10mgkg,0.7,3,2
5_4,0,NoInj,0.9,3,2
5_4,0,Veh,0.9,3,2
5_4,0,1mgkg,0.9,2.5,2
5_4,0,10mgkg,0.8,3,3
5_4,40,NoInj,0.6,3,1.5
5_4,40,Veh,0.6,3,2
5_4,40,1mgkg,0.89,3,1.5
5_4,40,10mgkg,0.7,4,2.5
6_1,0,NoInj,1,3,2
6_1,0,Veh,0.8,3,2
6_1,0,1mgkg,1,3,2.5
6_1,0,10mgkg,0.8,3,2
6_1,40,NoInj,0.7,3,2
6_1,40,Veh,0.9,2.5,2
6_1,40,1mgkg,0.6,3.5,2
6_1,40,10mgkg,0.6,3,2
6_2,0,NoInj,0.5,3,3
6_2,0,Veh,0.5,3,3
6_2,0,1mgkg,0.6,3,4
6_2,0,10mgkg,0.5,3,3
6_2,40,NoInj,0.5,4,2.5
6_2,40,Veh,0.5,3,2
6_2,40,1mgkg,0.7,3,2
6_2,40,10mgkg,0.4,3,2.5
6_3,0,NoInj,0.6,2.5,3
6_3,0,Veh,0.9,3,3
6_3,0,1mgkg,0.6,3,3
6_3,0,10mgkg,0.7,4,4
6_3,40,NoInj,0.4,3,2
6_3,40,Veh,0.6,3,2
6_3,40,1mgkg,0.6,3,2
6_3,40,10mgkg,0.6,4,3
6_4,0,NoInj,0.9,3,3
6_4,0,Veh,0.8,4,4.5
6_4,0,1mgkg,0.9,3,3
6_4,0,10mgkg,0.5,4.5,4.5
6_4,40,NoInj,0.8,3,2.5
6_4,40,Veh,0.6,5,3
6_4,40,1mgkg,0.6,3,2
6_4,40,10mgkg,0.6,5,3
7_1,0,NoInj,0.9,3,3
7_1,0,Veh,0.7,3,3
7_1,0,1mgkg,0.8,3,2
7_1,0,10mgkg,0.4,3,3
7_1,40,NoInj,0.7,3,2.5
7_1,40,Veh,0.8,3,2
7_1,40,1mgkg,0.6,3,2
7_1,40,10mgkg,0.8,3,2
7_2,0,NoInj,0.7,3,2
7_2,0,Veh,0.7,3,2
7_2,0,1mgkg,0.5,3,3
7_2,0,10mgkg,0.7,3,3
7_2,40,NoInj,0.5,3,2
7_2,40,Veh,0.5,3,2
7_2,40,1mgkg,0.5,3,2
7_2,40,10mgkg,0.7,3,2
7_3,0,NoInj,0.8,4,3
7_3,0,Veh,0.8,3,2.5
7_3,0,1mgkg,0.5,3,2
7_3,0,10mgkg,0.6,4,4
7_3,40,NoInj,0.4,3,2
7_3,40,Veh,0.8,2,2
7_3,40,1mgkg,0.4,2.5,2
7_3,40,10mgkg,0.6,4,4
7_4,0,NoInj,1,7,2.5
7_4,0,Veh,0.7,3,2
7_4,0,1mgkg,0.7,3,2
7_4,0,10mgkg,0.8,6,8
7_4,40,NoInj,0.8,4,3
7_4,40,Veh,0.4,3,2
7_4,40,1mgkg,0.4,3,2
7_4,40,10mgkg,0.6,5,3.5
