Infusion,Day,InfusionGroup,Subject,Block5min,MagEntries,MagDuration_s
Infusion,18,Muscimol,16,6,2,0.84
Infusion,18,Muscimol,17,1,60,69.78
Infusion,18,Muscimol,17,2,8,9.08
Infusion,18,Muscimol,17,3,0,0
Infusion,18,Muscimol,17,4,1,8.83
Infusion,18,Muscimol,17,5,1,0.12
Infusion,18,Muscimol,17,6,5,4.83
Infusion,18,Muscimol,19,1,51,75.25
Infusion,18,Muscimol,19,2,10,18.2
Infusion,18,Muscimol,19,3,2,3.82
Infusion,18,Muscimol,19,4,4,12.66
Infusion,18,Muscimol,19,5,0,0
Infusion,18,Muscimol,19,6,4,4.07
Infusion,18,Muscimol,22,1,79,71.91
Infusion,18,Muscimol,22,2,18,19.72
Infusion,18,Muscimol,22,3,2,1.68
Infusion,18,Muscimol,22,4,15,30.15
Infusion,18,Muscimol,22,5,2,1.22
Infusion,18,Muscimol,22,6,10,8.29
Infusion,18,Muscimol,23,1,63,55.41
Infusion,18,Muscimol,23,2,1,1.08
Infusion,18,Muscimol,23,3,0,0
Infusion,18,Muscimol,23,4,0,0
Infusion,18,Muscimol,23,5,1,1.22
Infusion,18,Muscimol,23,6,0,0
Infusion,18,Muscimol,25,1,113,82.93
Infusion,18,Muscimol,25,2,33,23.09
Infusion,18,Muscimol,25,3,9,8.47
Infusion,18,Muscimol,25,4,1,1.32
Infusion,18,Muscimol,25,5,0,0
Infusion,18,Muscimol,25,6,4,5.03
Infusion,18,Muscimol,26,1,91,60.59
Infusion,18,Muscimol,26,2,15,8.86
Infusion,18,Muscimol,26,3,0,0
Infusion,18,Muscimol,26,4,4,3.44
Infusion,18,Muscimol,26,5,1,0.1
Infusion,18,Muscimol,26,6,0,0
Infusion,18,Muscimol,28,1,75,62.93
Infusion,18,Muscimol,28,2,7,5.81
Infusion,18,Muscimol,28,3,3,2.49
Infusion,18,Muscimol,28,4,2,5.43
Infusion,18,Muscimol,28,5,4,4.76
Infusion,18,Muscimol,28,6,0,0
Infusion,18,Muscimol,30,1,121,117.14
Infusion,18,Muscimol,30,2,39,31.37
Infusion,18,Muscimol,30,3,19,21.09
Infusion,18,Muscimol,30,4,8,7.07
Infusion,18,Muscimol,30,5,2,1.93
Infusion,18,Muscimol,30,6,2,0.71
Infusion,18,Saline,2,1,86,58.41
Infusion,18,Saline,2,2,46,55.02
Infusion,18,Saline,2,3,10,8.71
Infusion,18,Saline,2,4,9,8.42
Infusion,18,Saline,2,5,4,5.68
Infusion,18,Saline,2,6,16,14.56
Infusion,18,Saline,4,1,72,85.65
Infusion,18,Saline,4,2,10,15.73
Infusion,18,Saline,4,3,0,0
Infusion,18,Saline,4,4,3,2.91
Infusion,18,Saline,4,5,0,0
Infusion,18,Saline,4,6,0,0
Infusion,18,Saline,7,1,104,71.34
Infusion,18,Saline,7,2,4,2.49
Infusion,18,Saline,7,3,1,0.73
Infusion,18,Saline,7,4,0,0
Infusion,18,Saline,7,5,0,0
Infusion,18,Saline,7,6,0,0
Infusion,18,Saline,9,1,70,69.13
Infusion,18,Saline,9,2,7,3.23
Infusion,18,Saline,9,3,0,0
Infusion,18,Saline,9,4,1,0.91
Infusion,18,Saline,9,5,0,0
Infusion,18,Saline,9,6,0,0
Infusion,18,Saline,15,1,65,63.27
Infusion,18,Saline,15,2,9,6.78
Infusion,18,Saline,15,3,5,0.64
Infusion,18,Saline,15,4,0,0
Infusion,18,Saline,15,5,0,0
Infusion,18,Saline,15,6,0,0
Infusion,18,Saline,18,1,57,62.85
Infusion,18,Saline,18,2,7,1.99
Infusion,18,Saline,18,3,1,0.77
Infusion,18,Saline,18,4,0,0
Infusion,18,Saline,18,5,6,4.75
Infusion,18,Saline,18,6,0,0
Infusion,18,Saline,20,1,78,72.23
Infusion,18,Saline,20,2,25,26.3
Infusion,18,Saline,20,3,5,4.57
Infusion,18,Saline,20,4,0,0
Infusion,18,Saline,20,5,1,0.12
Infusion,18,Saline,20,6,0,0
Infusion,18,Saline,24,1,43,57.08
Infusion,18,Saline,24,2,3,2.5
Infusion,18,Saline,24,3,4,1.84
Infusion,18,Saline,24,4,1,0.88
Infusion,18,Saline,24,5,0,0
Infusion,18,Saline,24,6,6,4.12
Infusion,18,Saline,29,1,56,62.69
Infusion,18,Saline,29,2,12,17.66
Infusion,18,Saline,29,3,1,0.58
Infusion,18,Saline,29,4,2,0.66
Infusion,18,Saline,29,5,0,0
Infusion,18,Saline,29,6,5,11.61
Infusion,18,Saline,31,1,83,78.19
Infusion,18,Saline,31,2,0,0
Infusion,18,Saline,31,3,0,0
Infusion,18,Saline,31,4,0,0
Infusion,18,Saline,31,5,1,1.29
Infusion,18,Saline,31,6,0,0
Infusion,18,Saline,32,1,60,81.96
Infusion,18,Saline,32,2,6,4.59
Infusion,18,Saline,32,3,3,1
Infusion,18,Saline,32,4,1,0.07
Infusion,18,Saline,32,5,3,14.79
Infusion,18,Saline,32,6,1,0.16
