Group,Subject,Period,Day,Hunger,MagEntries
Sham,6,CS,Day 22,Satiety,9
Sham,6,PreCS,Day 23,Hungry,3.25
Sham,6,CS,Day 23,Hungry,12.625
Sham,6,CSPre,Day 21,Hungry,9.44
Sham,6,CSPre,Day 22,Satiety,7.81
Sham,6,CSPre,Day 23,Hungry,9.38
Sham,7,PreCS,Day 21,Hungry,1.25
Sham,7,CS,Day 21,Hungry,21.9375
Sham,7,PreCS,Day 22,Satiety,2.3125
Sham,7,CS,Day 22,Satiety,15.4375
Sham,7,PreCS,Day 23,Hungry,7.6875
Sham,7,CS,Day 23,Hungry,24.1875
Sham,7,CSPre,Day 21,Hungry,20.69
Sham,7,CSPre,Day 22,Satiety,13.13
Sham,7,CSPre,Day 23,Hungry,16.5
Sham,8,PreCS,Day 21,Hungry,10
Sham,8,CS,Day 21,Hungry,18.5625
Sham,8,PreCS,Day 22,Satiety,0.625
Sham,8,CS,Day 22,Satiety,10
Sham,8,PreCS,Day 23,Hungry,5.3125
Sham,8,CS,Day 23,Hungry,21.5625
Sham,8,CSPre,Day 21,Hungry,8.56
Sham,8,CSPre,Day 22,Satiety,9.37
Sham,8,CSPre,Day 23,Hungry,16.25
OFC,9,PreCS,Day 21,Hungry,5.0625
OFC,9,CS,Day 21,Hungry,15
OFC,9,PreCS,Day 22,Satiety,0.25
OFC,9,CS,Day 22,Satiety,9.75
OFC,9,PreCS,Day 23,Hungry,2.125
OFC,9,CS,Day 23,Hungry,14.6875
OFC,9,CSPre,Day 21,Hungry,9.94
OFC,9,CSPre,Day 22,Satiety,9.5
OFC,9,CSPre,Day 23,Hungry,12.56
OFC,10,PreCS,Day 21,Hungry,3.0625
OFC,10,CS,Day 21,Hungry,8.75
OFC,10,PreCS,Day 22,Satiety,0.3125
OFC,10,CS,Day 22,Satiety,4.6875
OFC,10,PreCS,Day 23,Hungry,2.5
OFC,10,CS,Day 23,Hungry,9.25
OFC,10,CSPre,Day 21,Hungry,5.69
OFC,10,CSPre,Day 22,Satiety,4.38
OFC,10,CSPre,Day 23,Hungry,6.75
OFC,11,PreCS,Day 21,Hungry,9.5625
OFC,11,CS,Day 21,Hungry,18.75
OFC,11,PreCS,Day 22,Satiety,0.375
OFC,11,CS,Day 22,Satiety,6.375
OFC,11,PreCS,Day 23,Hungry,4.9375
OFC,11,CS,Day 23,Hungry,16.6875
OFC,11,CSPre,Day 21,Hungry,9.19
OFC,11,CSPre,Day 22,Satiety,6
OFC,11,CSPre,Day 23,Hungry,11.75
OFC,12,PreCS,Day 21,Hungry,2.75
OFC,12,CS,Day 21,Hungry,18.0625
OFC,12,PreCS,Day 22,Satiety,0.0625
OFC,12,CS,Day 22,Satiety,3.625
OFC,12,PreCS,Day 23,Hungry,2.25
OFC,12,CS,Day 23,Hungry,18.75
OFC,12,CSPre,Day 21,Hungry,15.31
OFC,12,CSPre,Day 22,Satiety,3.57
OFC,12,CSPre,Day 23,Hungry,16.5
OFC,14,PreCS,Day 21,Hungry,4.5625
OFC,14,CS,Day 21,Hungry,16.1875
OFC,14,PreCS,Day 22,Satiety,0.625
OFC,14,CS,Day 22,Satiety,8.5
OFC,14,PreCS,Day 23,Hungry,6
OFC,14,CS,Day 23,Hungry,17.125
OFC,14,CSPre,Day 21,Hungry,11.63
OFC,14,CSPre,Day 22,Satiety,7.87
OFC,14,CSPre,Day 23,Hungry,11.13
OFC,15,PreCS,Day 21,Hungry,6
OFC,15,CS,Day 21,Hungry,15.6875
OFC,15,PreCS,Day 22,Satiety,1.125
OFC,15,CS,Day 22,Satiety,8.25
OFC,15,PreCS,Day 23,Hungry,7.375
OFC,15,CS,Day 23,Hungry,18.8125
OFC,15,CSPre,Day 21,Hungry,9.69
OFC,15,CSPre,Day 22,Satiety,7.12
OFC,15,CSPre,Day 23,Hungry,11.43
OFC,16,PreCS,Day 21,Hungry,2.625
OFC,16,CS,Day 21,Hungry,25.25
OFC,16,PreCS,Day 22,Satiety,0.1875
OFC,16,CS,Day 22,Satiety,14.25
OFC,16,PreCS,Day 23,Hungry,1.5
OFC,16,CS,Day 23,Hungry,19.5625
OFC,16,CSPre,Day 21,Hungry,22.62
OFC,16,CSPre,Day 22,Satiety,14.06
OFC,16,CSPre,Day 23,Hungry,18.06
