Group,Subject,Period,Cue,Stage,Infusion,Day,MagEntries
Muscimol,18,CSPre,A,Stage1,NoInfusion,Day3,0.5
Muscimol,18,CSPre,A,Stage1,NoInfusion,Day4,0.125
Muscimol,18,CSPre,A,Stage1,Infusion,Day5,0.375
Muscimol,18,CSPre,A,Stage1,Infusion,Day6,0.5
Muscimol,18,CSPre,A,Stage1,Infusion,Day7,0.25
Muscimol,18,CSPre,A,Stage1,Infusion,Day8,0.375
Muscimol,18,CSPre,A,Stage1,Infusion,Day9,-0.0625
Muscimol,18,CSPre,A,Stage1,Infusion,Day10,1.4375
Muscimol,23,PreCS,A,Stage1,NoInfusion,Day1,0.25
Muscimol,23,PreCS,A,Stage1,NoInfusion,Day2,0.0625
Muscimol,23,PreCS,A,Stage1,NoInfusion,Day3,0.6875
Muscimol,23,PreCS,A,Stage1,NoInfusion,Day4,0.375
Muscimol,23,PreCS,A,Stage1,Infusion,Day5,0
Muscimol,23,PreCS,A,Stage1,Infusion,Day6,0.1875
Muscimol,23,PreCS,A,Stage1,Infusion,Day7,0.25
Muscimol,23,PreCS,A,Stage1,Infusion,Day8,0.375
Muscimol,23,PreCS,A,Stage1,Infusion,Day9,0.8125
Muscimol,23,PreCS,A,Stage1,Infusion,Day10,0.625
Muscimol,23,CS,A,Stage1,NoInfusion,Day1,0.4375
Muscimol,23,CS,A,Stage1,NoInfusion,Day2,0.125
Muscimol,23,CS,A,Stage1,NoInfusion,Day3,1.25
Muscimol,23,CS,A,Stage1,NoInfusion,Day4,1.1875
Muscimol,23,CS,A,Stage1,Infusion,Day5,0.4375
Muscimol,23,CS,A,Stage1,Infusion,Day6,0.4375
Muscimol,23,CS,A,Stage1,Infusion,Day7,1.625
Muscimol,23,CS,A,Stage1,Infusion,Day8,1.6875
Muscimol,23,CS,A,Stage1,Infusion,Day9,3.4375
Muscimol,23,CS,A,Stage1,Infusion,Day10,3
Muscimol,23,CSPre,A,Stage1,NoInfusion,Day1,0.1875
Muscimol,23,CSPre,A,Stage1,NoInfusion,Day2,0.0625
Muscimol,23,CSPre,A,Stage1,NoInfusion,Day3,0.5625
Muscimol,23,CSPre,A,Stage1,NoInfusion,Day4,0.8125
Muscimol,23,CSPre,A,Stage1,Infusion,Day5,0.4375
Muscimol,23,CSPre,A,Stage1,Infusion,Day6,0.25
Muscimol,23,CSPre,A,Stage1,Infusion,Day7,1.375
Muscimol,23,CSPre,A,Stage1,Infusion,Day8,1.3125
Muscimol,23,CSPre,A,Stage1,Infusion,Day9,2.625
Muscimol,23,CSPre,A,Stage1,Infusion,Day10,2.375
Muscimol,26,PreCS,A,Stage1,NoInfusion,Day1,0.3125
Muscimol,26,PreCS,A,Stage1,NoInfusion,Day2,0.6875
Muscimol,26,PreCS,A,Stage1,NoInfusion,Day3,0.5625
Muscimol,26,PreCS,A,Stage1,NoInfusion,Day4,0.125
Muscimol,26,PreCS,A,Stage1,Infusion,Day5,0.1875
Muscimol,26,PreCS,A,Stage1,Infusion,Day6,0.3125
Muscimol,26,PreCS,A,Stage1,Infusion,Day7,0.1875
Muscimol,26,PreCS,A,Stage1,Infusion,Day8,0.5
Muscimol,26,PreCS,A,Stage1,Infusion,Day9,0.5
Muscimol,26,PreCS,A,Stage1,Infusion,Day10,0.9375
Muscimol,26,CS,A,Stage1,NoInfusion,Day1,1
Muscimol,26,CS,A,Stage1,NoInfusion,Day2,0.875
Muscimol,26,CS,A,Stage1,NoInfusion,Day3,2
Muscimol,26,CS,A,Stage1,NoInfusion,Day4,0.625
Muscimol,26,CS,A,Stage1,Infusion,Day5,0
Muscimol,26,CS,A,Stage1,Infusion,Day6,1.3125
Muscimol,26,CS,A,Stage1,Infusion,Day7,1.0625
Muscimol,26,CS,A,Stage1,Infusion,Day8,2.3125
Muscimol,26,CS,A,Stage1,Infusion,Day9,3.4375
Muscimol,26,CS,A,Stage1,Infusion,Day10,2
Muscimol,26,CSPre,A,Stage1,NoInfusion,Day1,0.6875
Muscimol,26,CSPre,A,Stage1,NoInfusion,Day2,0.1875
Muscimol,26,CSPre,A,Stage1,NoInfusion,Day3,1.4375
Muscimol,26,CSPre,A,Stage1,NoInfusion,Day4,0.5
Muscimol,26,CSPre,A,Stage1,Infusion,Day5,-0.1875
Muscimol,26,CSPre,A,Stage1,Infusion,Day6,1
Muscimol,26,CSPre,A,Stage1,Infusion,Day7,0.875
Muscimol,26,CSPre,A,Stage1,Infusion,Day8,1.8125
Muscimol,26,CSPre,A,Stage1,Infusion,Day9,2.9375
Muscimol,26,CSPre,A,Stage1,Infusion,Day10,1.0625
Muscimol,31,PreCS,A,Stage1,NoInfusion,Day1,0.625
Muscimol,31,PreCS,A,Stage1,NoInfusion,Day2,0.5
Muscimol,31,PreCS,A,Stage1,NoInfusion,Day3,0.125
Muscimol,31,PreCS,A,Stage1,NoInfusion,Day4,0.375
Muscimol,31,PreCS,A,Stage1,Infusion,Day5,0.1875
Muscimol,31,PreCS,A,Stage1,Infusion,Day6,0.4375
Muscimol,31,PreCS,A,Stage1,Infusion,Day7,0.375
Muscimol,31,PreCS,A,Stage1,Infusion,Day8,0.9375
Muscimol,31,PreCS,A,Stage1,Infusion,Day9,0.1875
Muscimol,31,PreCS,A,Stage1,Infusion,Day10,1.6875
Muscimol,31,CS,A,Stage1,NoInfusion,Day1,0.25
Muscimol,31,CS,A,Stage1,NoInfusion,Day2,0.5
Muscimol,31,CS,A,Stage1,NoInfusion,Day3,0.5
Muscimol,31,CS,A,Stage1,NoInfusion,Day4,0.1875
Muscimol,31,CS,A,Stage1,Infusion,Day5,0.125
Muscimol,31,CS,A,Stage1,Infusion,Day6,0.4375
Muscimol,31,CS,A,Stage1,Infusion,Day7,0.1875
Muscimol,31,CS,A,Stage1,Infusion,Day8,3.5
Muscimol,31,CS,A,Stage1,Infusion,Day9,2.625
Muscimol,31,CS,A,Stage1,Infusion,Day10,1.625
Muscimol,31,CSPre,A,Stage1,NoInfusion,Day1,-0.375
Muscimol,31,CSPre,A,Stage1,NoInfusion,Day2,0
Muscimol,31,CSPre,A,Stage1,NoInfusion,Day3,0.375
Muscimol,31,CSPre,A,Stage1,NoInfusion,Day4,-0.1875
Muscimol,31,CSPre,A,Stage1,Infusion,Day5,-0.0625
Muscimol,31,CSPre,A,Stage1,Infusion,Day6,0
Muscimol,31,CSPre,A,Stage1,Infusion,Day7,-0.1875
Muscimol,31,CSPre,A,Stage1,Infusion,Day8,2.5625
Muscimol,31,CSPre,A,Stage1,Infusion,Day9,2.4375
Muscimol,31,CSPre,A,Stage1,Infusion,Day10,-0.0625
Saline,4,PreCS,A,Stage1,NoInfusion,Day1,0.1875
Saline,4,PreCS,A,Stage1,NoInfusion,Day2,0.25
Saline,4,PreCS,A,Stage1,NoInfusion,Day3,0.5
Saline,4,PreCS,A,Stage1,NoInfusion,Day4,0.1875
Saline,4,PreCS,A,Stage1,Infusion,Day5,0.3125
Saline,4,PreCS,A,Stage1,Infusion,Day6,0.0625
Saline,4,PreCS,A,Stage1,Infusion,Day7,0.125
Saline,4,PreCS,A,Stage1,Infusion,Day8,0.125
Saline,4,PreCS,A,Stage1,Infusion,Day9,0.125
Saline,4,PreCS,A,Stage1,Infusion,Day10,0.625
Saline,4,CS,A,Stage1,NoInfusion,Day1,0.125
Saline,4,CS,A,Stage1,NoInfusion,Day2,1
Saline,4,CS,A,Stage1,NoInfusion,Day3,1.25
Saline,4,CS,A,Stage1,NoInfusion,Day4,0.875
Saline,4,CS,A,Stage1,Infusion,Day5,1.6875
Saline,4,CS,A,Stage1,Infusion,Day6,2.3125
Saline,4,CS,A,Stage1,Infusion,Day7,3.0625
Saline,4,CS,A,Stage1,Infusion,Day8,3.0625
Saline,4,CS,A,Stage1,Infusion,Day9,2.5625
Saline,4,CS,A,Stage1,Infusion,Day10,3.8125
Saline,4,CSPre,A,Stage1,NoInfusion,Day1,-0.0625
Saline,4,CSPre,A,Stage1,NoInfusion,Day2,0.75
Saline,4,CSPre,A,Stage1,NoInfusion,Day3,0.75
Saline,4,CSPre,A,Stage1,NoInfusion,Day4,0.6875
Saline,4,CSPre,A,Stage1,Infusion,Day5,1.375
Saline,4,CSPre,A,Stage1,Infusion,Day6,2.25
Saline,4,CSPre,A,Stage1,Infusion,Day7,2.9375
