Group,Subject,Stage,Period,DayBlock,MagEntries
Lesion,14,PostOp,CS,block4,7.8125
Lesion,14,PostOp,CS,block5,7.104166667
Lesion,14,PostOp,CS,block6,7.895833333
Lesion,14,PreSurgery,CSPre,Block1,2.041666667
Lesion,14,PreSurgery,CSPre,Block2,4.791666667
Lesion,14,PreSurgery,CSPre,Block3,4.1875
Lesion,14,PostSurgery,CSPre,Block4,7.333333333
Lesion,14,PostSurgery,CSPre,Block5,6.3125
Lesion,14,PostSurgery,CSPre,Block6,5
Lesion,18,PreOp,PreCS,block1,3.8125
Lesion,18,PreOp,PreCS,block2,3.1875
Lesion,18,PreOp,PreCS,block3,1.979166667
Lesion,18,PostOp,PreCS,block4,0.229166667
Lesion,18,PostOp,PreCS,block5,1.020833333
Lesion,18,PostOp,PreCS,block6,2.958333333
Lesion,18,PreOp,CS,block1,4.666666667
Lesion,18,PreOp,CS,block2,11.20833333
Lesion,18,PreOp,CS,block3,10.375
Lesion,18,PostOp,CS,block4,5.166666667
Lesion,18,PostOp,CS,block5,6.583333333
Lesion,18,PostOp,CS,block6,9.395833333
Lesion,18,PreSurgery,CSPre,Block1,0.854166667
Lesion,18,PreSurgery,CSPre,Block2,8.020833333
Lesion,18,PreSurgery,CSPre,Block3,8.395833333
Lesion,18,PostSurgery,CSPre,Block4,4.9375
Lesion,18,PostSurgery,CSPre,Block5,5.5625
Lesion,18,PostSurgery,CSPre,Block6,6.4375
Lesion,21,PreOp,PreCS,block1,3.125
Lesion,21,PreOp,PreCS,block2,0.979166667
Lesion,21,PreOp,PreCS,block3,1.520833333
Lesion,21,PostOp,PreCS,block4,1.395833333
Lesion,21,PostOp,PreCS,block5,1.9375
Lesion,21,PostOp,PreCS,block6,3.645833333
Lesion,21,PreOp,CS,block1,4.9375
Lesion,21,PreOp,CS,block2,6.4375
Lesion,21,PreOp,CS,block3,7.104166667
Lesion,21,PostOp,CS,block4,9.583333333
Lesion,21,PostOp,CS,block5,11.125
Lesion,21,PostOp,CS,block6,10.0625
Lesion,21,PreSurgery,CSPre,Block1,1.8125
Lesion,21,PreSurgery,CSPre,Block2,5.458333333
Lesion,21,PreSurgery,CSPre,Block3,5.583333333
Lesion,21,PostSurgery,CSPre,Block4,8.1875
Lesion,21,PostSurgery,CSPre,Block5,9.1875
Lesion,21,PostSurgery,CSPre,Block6,6.416666667
Lesion,24,PreOp,PreCS,block1,1.395833333
Lesion,24,PreOp,PreCS,block2,1.479166667
Lesion,24,PreOp,PreCS,block3,1.770833333
Lesion,24,PostOp,PreCS,block4,1.333333333
Lesion,24,PostOp,PreCS,block5,2.0625
Lesion,24,PostOp,PreCS,block6,3.333333333
Lesion,24,PreOp,CS,block1,3.416666667
Lesion,24,PreOp,CS,block2,7.0625
Lesion,24,PreOp,CS,block3,7.208333333
Lesion,24,PostOp,CS,block4,7.5625
Lesion,24,PostOp,CS,block5,7.458333333
Lesion,24,PostOp,CS,block6,7.6875
Lesion,24,PreSurgery,CSPre,Block1,2.020833333
Lesion,24,PreSurgery,CSPre,Block2,5.583333333
Lesion,24,PreSurgery,CSPre,Block3,5.4375
Lesion,24,PostSurgery,CSPre,Block4,6.229166667
Lesion,24,PostSurgery,CSPre,Block5,5.395833333
Lesion,24,PostSurgery,CSPre,Block6,4.354166667
Sham,2,PreOp,PreCS,block1,1.25
Sham,2,PreOp,PreCS,block2,0.520833333
Sham,2,PreOp,PreCS,block3,3.625
Sham,2,PostOp,PreCS,block4,0.875
Sham,2,PostOp,PreCS,block5,2.791666667
Sham,2,PostOp,PreCS,block6,5.979166667
Sham,2,PreOp,CS,block1,2.375
Sham,2,PreOp,CS,block2,4.229166667
Sham,2,PreOp,CS,block3,6.270833333
Sham,2,PostOp,CS,block4,9.6875
Sham,2,PostOp,CS,block5,13.58333333
Sham,2,PostOp,CS,block6,15.77083333
Sham,2,PreSurgery,CSPre,Block1,1.125
Sham,2,PreSurgery,CSPre,Block2,3.708333333
Sham,2,PreSurgery,CSPre,Block3,2.645833333
Sham,2,PostSurgery,CSPre,Block4,8.8125
Sham,2,PostSurgery,CSPre,Block5,10.79166667
Sham,2,PostSurgery,CSPre,Block6,9.791666667
Sham,3,PreOp,PreCS,block1,2.083333333
Sham,3,PreOp,PreCS,block2,1.270833333
Sham,3,PreOp,PreCS,block3,0.770833333
Sham,3,PostOp,PreCS,block4,1.395833333
Sham,3,PostOp,PreCS,block5,1.020833333
Sham,3,PostOp,PreCS,block6,1.916666667
Sham,3,PreOp,CS,block1,3.5625
Sham,3,PreOp,CS,block2,4.583333333
Sham,3,PreOp,CS,block3,5.604166667
Sham,3,PostOp,CS,block4,5.791666667
Sham,3,PostOp,CS,block5,4.708333333
Sham,3,PostOp,CS,block6,5.083333333
Sham,3,PreSurgery,CSPre,Block1,1.479166667
Sham,3,PreSurgery,CSPre,Block2,3.3125
Sham,3,PreSurgery,CSPre,Block3,4.833333333
Sham,3,PostSurgery,CSPre,Block4,4.395833333
Sham,3,PostSurgery,CSPre,Block5,3.6875
Sham,3,PostSurgery,CSPre,Block6,3.166666667
Sham,5,PreOp,PreCS,block1,2.979166667
Sham,5,PreOp,PreCS,block2,2.4375
Sham,5,PreOp,PreCS,block3,2.270833333
Sham,5,PostOp,PreCS,block4,1.875
Sham,5,PostOp,PreCS,block5,1.708333333
Sham,5,PostOp,PreCS,block6,7.416666667
Sham,5,PreOp,CS,block1,2.708333333
Sham,5,PreOp,CS,block2,5.166666667
Sham,5,PreOp,CS,block3,5.8125
Sham,5,PostOp,CS,block4,9.125
Sham,5,PostOp,CS,block5,11.625
Sham,5,PostOp,CS,block6,15.52083333
Sham,5,PreSurgery,CSPre,Block1,-0.270833333
Sham,5,PreSurgery,CSPre,Block2,2.729166667
Sham,5,PreSurgery,CSPre,Block3,3.541666667
Sham,5,PostSurgery,CSPre,Block4,7.25
Sham,5,PostSurgery,CSPre,Block5,9.916666667
Sham,5,PostSurgery,CSPre,Block6,8.104166667
Sham,8,PreOp,PreCS,block1,2.729166667
Sham,8,PreOp,PreCS,block2,1.291666667
Sham,8,PreOp,PreCS,block3,1.020833333
Sham,8,PostOp,PreCS,block4,1.4375
Sham,8,PostOp,PreCS,block5,1.458333333
Sham,8,PostOp,PreCS,block6,1.0625
Sham,8,PreOp,CS,block1,2.875
Sham,8,PreOp,CS,block2,5.458333333
Sham,8,PreOp,CS,block3,6.6875
Sham,8,PostOp,CS,block4,7.833333333
Sham,8,PostOp,CS,block5,7.083333333
Sham,8,PostOp,CS,block6,8.125
Sham,8,PreSurgery,CSPre,Block1,0.145833333
Sham,8,PreSurgery,CSPre,Block2,4.166666667
Sham,8,PreSurgery,CSPre,Block3,5.666666667
Sham,8,PostSurgery,CSPre,Block4,6.395833333
Sham,8,PostSurgery,CSPre,Block5,5.625
Sham,8,PostSurgery,CSPre,Block6,7.0625
Sham,9,PreOp,PreCS,block1,1.541666667
Sham,9,PreOp,PreCS,block2,0.291666667
Sham,9,PreOp,PreCS,block3,1
Sham,9,PostOp,PreCS,block4,0.729166667
Sham,9,PostOp,PreCS,block5,0.5625
Sham,9,PostOp,PreCS,block6,1.458333333
Sham,9,PreOp,CS,block1,1.729166667
Sham,9,PreOp,CS,block2,1.104166667
Sham,9,PreOp,CS,block3,1.875
Sham,9,PostOp,CS,block4,3.770833333
Sham,9,PostOp,CS,block5,3.479166667
Sham,9,PostOp,CS,block6,4.395833333
Sham,9,PreSurgery,CSPre,Block1,0.1875
Sham,9,PreSurgery,CSPre,Block2,0.8125
Sham,9,PreSurgery,CSPre,Block3,0.875
Sham,9,PostSurgery,CSPre,Block4,3.041666667
Sham,9,PostSurgery,CSPre,Block5,2.916666667
Sham,9,PostSurgery,CSPre,Block6,2.9375
Sham,13,PreOp,PreCS,block1,2.125
Sham,13,PreOp,PreCS,block2,0.895833333
Sham,13,PreOp,PreCS,block3,0.541666667
Sham,13,PostOp,PreCS,block4,1.145833333
Sham,13,PostOp,PreCS,block5,0.916666667
Sham,13,PostOp,PreCS,block6,1.3125
Sham,13,PreOp,CS,block1,5.229166667
Sham,13,PreOp,CS,block2,6.1875
Sham,13,PreOp,CS,block3,6
Sham,13,PostOp,CS,block4,5.895833333
Sham,13,PostOp,CS,block5,5.375
Sham,13,PostOp,CS,block6,5.833333333
Sham,13,PreSurgery,CSPre,Block1,3.104166667
Sham,13,PreSurgery,CSPre,Block2,5.291666667
Sham,13,PreSurgery,CSPre,Block3,5.458333333
Sham,13,PostSurgery,CSPre,Block4,4.75
Sham,13,PostSurgery,CSPre,Block5,4.458333333
Sham,13,PostSurgery,CSPre,Block6,4.520833333
Sham,15,PreOp,PreCS,block1,1.625
Sham,15,PreOp,PreCS,block2,1.833333333
Sham,15,PreOp,PreCS,block3,1.479166667
Sham,15,PostOp,PreCS,block4,1.041666667
Sham,15,PostOp,PreCS,block5,1.354166667
Sham,15,PostOp,PreCS,block6,2.125
Sham,15,PreOp,CS,block1,2.458333333
Sham,15,PreOp,CS,block2,4.25
Sham,15,PreOp,CS,block3,5.166666667
Sham,15,PostOp,CS,block4,6.6875
Sham,15,PostOp,CS,block5,7.666666667
Sham,15,PostOp,CS,block6,7.729166667
Sham,15,PreSurgery,CSPre,Block1,0.833333333
Sham,15,PreSurgery,CSPre,Block2,2.416666667
Sham,15,PreSurgery,CSPre,Block3,3.6875
Sham,15,PostSurgery,CSPre,Block4,5.645833333
Sham,15,PostSurgery,CSPre,Block5,6.3125
Sham,15,PostSurgery,CSPre,Block6,5.604166667
Sham,16,PreOp,PreCS,block1,1.916666667
Sham,16,PreOp,PreCS,block2,0.770833333
Sham,16,PreOp,PreCS,block3,0.708333333
Sham,16,PostOp,PreCS,block4,0.979166667
Sham,16,PostOp,PreCS,block5,0.958333333
Sham,16,PostOp,PreCS,block6,1.479166667
Sham,16,PreOp,CS,block1,2.3125
Sham,16,PreOp,CS,block2,2.166666667
Sham,16,PreOp,CS,block3,3.979166667
Sham,16,PostOp,CS,block4,4.770833333
Sham,16,PostOp,CS,block5,6.083333333
Sham,16,PostOp,CS,block6,7.6875
Sham,16,PreSurgery,CSPre,Block1,0.395833333
Sham,16,PreSurgery,CSPre,Block2,1.395833333
Sham,16,PreSurgery,CSPre,Block3,3.270833333
Sham,16,PostSurgery,CSPre,Block4,3.791666667
Sham,16,PostSurgery,CSPre,Block5,5.125
Sham,16,PostSurgery,CSPre,Block6,6.208333333
Sham,17,PreOp,PreCS,block1,2.583333333
Sham,17,PreOp,PreCS,block2,2.395833333
Sham,17,PreOp,PreCS,block3,1.395833333
Sham,17,PostOp,PreCS,block4,0.1875
Sham,17,PostOp,PreCS,block5,1.333333333
Sham,17,PostOp,PreCS,block6,3.020833333
Sham,17,PreOp,CS,block1,2.979166667
Sham,17,PreOp,CS,block2,6.479166667
Sham,17,PreOp,CS,block3,7.895833333
Sham,17,PostOp,CS,block4,5.645833333
Sham,17,PostOp,CS,block5,7.833333333
Sham,17,PostOp,CS,block6,11.60416667
Sham,17,PreSurgery,CSPre,Block1,0.395833333
Sham,17,PreSurgery,CSPre,Block2,4.083333333
Sham,17,PreSurgery,CSPre,Block3,6.5
Sham,17,PostSurgery,CSPre,Block4,5.458333333
Sham,17,PostSurgery,CSPre,Block5,6.5
Sham,17,PostSurgery,CSPre,Block6,8.583333333
Sham,19,PreOp,PreCS,block1,2.125
Sham,19,PreOp,PreCS,block2,2.125
Sham,19,PreOp,PreCS,block3,2.229166667
Sham,19,PostOp,PreCS,block4,0.583333333
Sham,19,PostOp,PreCS,block5,0.3125
Sham,19,PostOp,PreCS,block6,1.770833333
Sham,19,PreOp,CS,block1,3.583333333
Sham,19,PreOp,CS,block2,6.125
Sham,19,PreOp,CS,block3,7.125
Sham,19,PostOp,CS,block4,5.166666667
Sham,19,PostOp,CS,block5,5.916666667
Sham,19,PostOp,CS,block6,12.22916667
Sham,19,PreSurgery,CSPre,Block1,1.458333333
Sham,19,PreSurgery,CSPre,Block2,4
Sham,19,PreSurgery,CSPre,Block3,4.895833333
Sham,19,PostSurgery,CSPre,Block4,4.583333333
Sham,19,PostSurgery,CSPre,Block5,5.604166667
Sham,19,PostSurgery,CSPre,Block6,10.45833333
Sham,20,PreOp,PreCS,block1,1.8125
Sham,20,PreOp,PreCS,block2,0.958333333
Sham,20,PreOp,PreCS,block3,0.9375
Sham,20,PostOp,PreCS,block4,1.916666667
Sham,20,PostOp,PreCS,block5,1.375
Sham,20,PostOp,PreCS,block6,1.916666667
Sham,20,PreOp,CS,block1,4.104166667
Sham,20,PreOp,CS,block2,6.75
Sham,20,PreOp,CS,block3,7.0625
Sham,20,PostOp,CS,block4,9.270833333
Sham,20,PostOp,CS,block5,8.708333333
Sham,20,PostOp,CS,block6,12.66666667
Sham,20,PreSurgery,CSPre,Block1,2.291666667
Sham,20,PreSurgery,CSPre,Block2,5.791666667
Sham,20,PreSurgery,CSPre,Block3,6.125
Sham,20,PostSurgery,CSPre,Block4,7.354166667
Sham,20,PostSurgery,CSPre,Block5,7.333333333
Sham,20,PostSurgery,CSPre,Block6,10.75
Sham,22,PreOp,PreCS,block1,2.291666667
Sham,22,PreOp,PreCS,block2,1.479166667
Sham,22,PreOp,PreCS,block3,1.4375
Sham,22,PostOp,PreCS,block4,0.208333333
Sham,22,PostOp,PreCS,block5,0.645833333
Sham,22,PostOp,PreCS,block6,1.083333333
Sham,22,PreOp,CS,block1,4.729166667
Sham,22,PreOp,CS,block2,5.9375
Sham,22,PreOp,CS,block3,6.604166667
Sham,22,PostOp,CS,block4,4.708333333
Sham,22,PostOp,CS,block5,6.25
Sham,22,PostOp,CS,block6,8.625
Sham,22,PreSurgery,CSPre,Block1,2.4375
Sham,22,PreSurgery,CSPre,Block2,4.458333333
Sham,22,PreSurgery,CSPre,Block3,5.166666667
Sham,22,PostSurgery,CSPre,Block4,4.5
Sham,22,PostSurgery,CSPre,Block5,5.604166667
Sham,22,PostSurgery,CSPre,Block6,7.541666667
