Group,Subj,Period,Stage,Day,MagEntries
Muscimol,6,CSPre,Acquisition,Day5,3.9375
Muscimol,6,CSPre,Acquisition,Day6,0.8125
Muscimol,6,CSPre,Acquisition,Day7,4.0625
Muscimol,6,CSPre,Acquisition,Day8,3.875
Muscimol,6,CSPre,Acquisition,Day9,4.9375
Muscimol,6,CSPre,PostAcquisition,Day10,5.5625
Muscimol,6,CSPre,PostAcquisition,Day11,5.5
Muscimol,6,CSPre,Infusion,Day12,3.8125
Muscimol,6,CSPre,Infusion,Day13,3.5625
Muscimol,6,CSPre,Infusion,Day14,4.25
Muscimol,6,CSPre,Infusion,Day15,3.5
Muscimol,6,CSPre,NoInfusion,Day16,2.375
Muscimol,6,CSPre,NoInfusion,Day17,4.625
Muscimol,7,PreCS,Acquisition,Day1,3.375
Muscimol,7,PreCS,Acquisition,Day2,3.25
Muscimol,7,PreCS,Acquisition,Day3,1
Muscimol,7,PreCS,Acquisition,Day4,1.4375
Muscimol,7,PreCS,Acquisition,Day5,0.75
Muscimol,7,PreCS,Acquisition,Day6,0.875
Muscimol,7,PreCS,Acquisition,Day7,0.75
Muscimol,7,PreCS,Acquisition,Day8,1.5625
Muscimol,7,PreCS,Acquisition,Day9,0.5625
Muscimol,7,PreCS,PostAcquisition,Day10,0.9375
Muscimol,7,PreCS,PostAcquisition,Day11,1.125
Muscimol,7,PreCS,Infusion,Day12,0.625
Muscimol,7,PreCS,Infusion,Day13,0.625
Muscimol,7,PreCS,Infusion,Day14,0.875
Muscimol,7,PreCS,Infusion,Day15,1.375
Muscimol,7,PreCS,NoInfusion,Day16,0.8125
Muscimol,7,PreCS,NoInfusion,Day17,1
Muscimol,7,CS,Acquisition,Day1,2.625
Muscimol,7,CS,Acquisition,Day2,4.375
Muscimol,7,CS,Acquisition,Day3,3.5
Muscimol,7,CS,Acquisition,Day4,3.375
Muscimol,7,CS,Acquisition,Day5,4.25
Muscimol,7,CS,Acquisition,Day6,4.625
Muscimol,7,CS,Acquisition,Day7,5.125
Muscimol,7,CS,Acquisition,Day8,5.25
Muscimol,7,CS,Acquisition,Day9,6.1875
Muscimol,7,CS,PostAcquisition,Day10,5.25
Muscimol,7,CS,PostAcquisition,Day11,5.75
Muscimol,7,CS,Infusion,Day12,5.9375
Muscimol,7,CS,Infusion,Day13,5.0625
Muscimol,7,CS,Infusion,Day14,4.75
Muscimol,7,CS,Infusion,Day15,7.25
Muscimol,7,CS,NoInfusion,Day16,4.6875
Muscimol,7,CS,NoInfusion,Day17,5.5
Muscimol,7,CSPre,Acquisition,Day1,-0.75
Muscimol,7,CSPre,Acquisition,Day2,1.125
Muscimol,7,CSPre,Acquisition,Day3,2.5
Muscimol,7,CSPre,Acquisition,Day4,1.9375
Muscimol,7,CSPre,Acquisition,Day5,3.5
Muscimol,7,CSPre,Acquisition,Day6,3.75
Muscimol,7,CSPre,Acquisition,Day7,4.375
Muscimol,7,CSPre,Acquisition,Day8,3.6875
Muscimol,7,CSPre,Acquisition,Day9,5.625
Muscimol,7,CSPre,PostAcquisition,Day10,4.3125
Muscimol,7,CSPre,PostAcquisition,Day11,4.625
Muscimol,7,CSPre,Infusion,Day12,5.3125
Muscimol,7,CSPre,Infusion,Day13,4.4375
Muscimol,7,CSPre,Infusion,Day14,3.875
Muscimol,7,CSPre,Infusion,Day15,5.875
Muscimol,7,CSPre,NoInfusion,Day16,3.875
Muscimol,7,CSPre,NoInfusion,Day17,4.5
Muscimol,9,PreCS,Acquisition,Day1,3.5625
Muscimol,9,PreCS,Acquisition,Day2,2.4375
Muscimol,9,PreCS,Acquisition,Day3,2.0625
Muscimol,9,PreCS,Acquisition,Day4,0.5625
Muscimol,9,PreCS,Acquisition,Day5,4.8125
Muscimol,9,PreCS,Acquisition,Day6,3.625
Muscimol,9,PreCS,Acquisition,Day7,3
Muscimol,9,PreCS,Acquisition,Day8,2.1875
Muscimol,9,PreCS,Acquisition,Day9,6.5625
Muscimol,9,PreCS,PostAcquisition,Day10,0.25
Muscimol,9,PreCS,PostAcquisition,Day11,0.25
Muscimol,9,PreCS,Infusion,Day12,0.375
Muscimol,9,PreCS,Infusion,Day13,1.0625
Muscimol,9,PreCS,Infusion,Day14,1.4375
Muscimol,9,PreCS,Infusion,Day15,0.625
Muscimol,9,PreCS,NoInfusion,Day16,5.6875
Muscimol,9,PreCS,NoInfusion,Day17,9.8125
Muscimol,9,CS,Acquisition,Day1,5.8125
Muscimol,9,CS,Acquisition,Day2,8.5
Muscimol,9,CS,Acquisition,Day3,7.8125
Muscimol,9,CS,Acquisition,Day4,8.3125
Muscimol,9,CS,Acquisition,Day5,12.625
Muscimol,9,CS,Acquisition,Day6,14.1875
Muscimol,9,CS,Acquisition,Day7,11.8125
Muscimol,9,CS,Acquisition,Day8,16.0625
Muscimol,9,CS,Acquisition,Day9,16.875
Muscimol,9,CS,PostAcquisition,Day10,11.25
Muscimol,9,CS,PostAcquisition,Day11,9.3125
Muscimol,9,CS,Infusion,Day12,20.4375
Muscimol,9,CS,Infusion,Day13,10.5625
Muscimol,9,CS,Infusion,Day14,6.1875
Muscimol,9,CS,Infusion,Day15,11.4375
Muscimol,9,CS,NoInfusion,Day16,23.5625
Muscimol,9,CS,NoInfusion,Day17,29.5
Muscimol,9,CSPre,Acquisition,Day1,2.25
Muscimol,9,CSPre,Acquisition,Day2,6.0625
Muscimol,9,CSPre,Acquisition,Day3,5.75
Muscimol,9,CSPre,Acquisition,Day4,7.75
Muscimol,9,CSPre,Acquisition,Day5,7.8125
Muscimol,9,CSPre,Acquisition,Day6,10.5625
Muscimol,9,CSPre,Acquisition,Day7,8.8125
Muscimol,9,CSPre,Acquisition,Day8,13.875
Muscimol,9,CSPre,Acquisition,Day9,10.3125
Muscimol,9,CSPre,PostAcquisition,Day10,11
Muscimol,9,CSPre,PostAcquisition,Day11,9.0625
Muscimol,9,CSPre,Infusion,Day12,20.0625
Muscimol,9,CSPre,Infusion,Day13,9.5
Muscimol,9,CSPre,Infusion,Day14,4.75
Muscimol,9,CSPre,Infusion,Day15,10.8125
Muscimol,9,CSPre,NoInfusion,Day16,17.875
Muscimol,9,CSPre,NoInfusion,Day17,19.6875
Muscimol,13,PreCS,Acquisition,Day1,1.4375
Muscimol,13,PreCS,Acquisition,Day2,1.5625
Muscimol,13,PreCS,Acquisition,Day3,1.625
Muscimol,13,PreCS,Acquisition,Day4,1
Muscimol,13,PreCS,Acquisition,Day5,1.5625
Muscimol,13,PreCS,Acquisition,Day6,1.0625
Muscimol,13,PreCS,Acquisition,Day7,0.375
Muscimol,13,PreCS,Acquisition,Day8,0.1875
Muscimol,13,PreCS,Acquisition,Day9,0.9375
Muscimol,13,PreCS,PostAcquisition,Day10,0.0625
Muscimol,13,PreCS,PostAcquisition,Day11,0
Muscimol,13,PreCS,Infusion,Day12,0.25
Muscimol,13,PreCS,Infusion,Day13,0.625
Muscimol,13,PreCS,Infusion,Day14,0.8125
Muscimol,13,PreCS,Infusion,Day15,1
Muscimol,13,PreCS,NoInfusion,Day16,0.5625
Muscimol,13,PreCS,NoInfusion,Day17,0.4375
Muscimol,13,CS,Acquisition,Day1,2.5
Muscimol,13,CS,Acquisition,Day2,3.0625
Muscimol,13,CS,Acquisition,Day3,4.1875
Muscimol,13,CS,Acquisition,Day4,5
Muscimol,13,CS,Acquisition,Day5,4.8125
Muscimol,13,CS,Acquisition,Day6,4.75
Muscimol,13,CS,Acquisition,Day7,5.75
Muscimol,13,CS,Acquisition,Day8,5.8125
Muscimol,13,CS,Acquisition,Day9,5.4375
Muscimol,13,CS,PostAcquisition,Day10,6.5
Muscimol,13,CS,PostAcquisition,Day11,2.6875
Muscimol,13,CS,Infusion,Day12,2.9375
Muscimol,13,CS,Infusion,Day13,3.9375
Muscimol,13,CS,Infusion,Day14,3.8125
Muscimol,13,CS,Infusion,Day15,2.6875
Muscimol,13,CS,NoInfusion,Day16,5.5
Muscimol,13,CS,NoInfusion,Day17,5.25
Muscimol,13,CSPre,Acquisition,Day1,1.0625
Muscimol,13,CSPre,Acquisition,Day2,1.5
Muscimol,13,CSPre,Acquisition,Day3,2.5625
Muscimol,13,CSPre,Acquisition,Day4,4
Muscimol,13,CSPre,Acquisition,Day5,3.25
Muscimol,13,CSPre,Acquisition,Day6,3.6875
Muscimol,13,CSPre,Acquisition,Day7,5.375
Muscimol,13,CSPre,Acquisition,Day8,5.625
Muscimol,13,CSPre,Acquisition,Day9,4.5
Muscimol,13,CSPre,PostAcquisition,Day10,6.4375
Muscimol,13,CSPre,PostAcquisition,Day11,2.6875
Muscimol,13,CSPre,Infusion,Day12,2.6875
Muscimol,13,CSPre,Infusion,Day13,3.3125
Muscimol,13,CSPre,Infusion,Day14,3
Muscimol,13,CSPre,Infusion,Day15,1.6875
Muscimol,13,CSPre,NoInfusion,Day16,4.9375
Muscimol,13,CSPre,NoInfusion,Day17,4.8125
Muscimol,14,PreCS,Acquisition,Day1,2.875
Muscimol,14,PreCS,Acquisition,Day2,2.6875
Muscimol,14,PreCS,Acquisition,Day3,1.4375
Muscimol,14,PreCS,Acquisition,Day4,2.25
Muscimol,14,PreCS,Acquisition,Day5,1.5
Muscimol,14,PreCS,Acquisition,Day6,2.625
Muscimol,14,PreCS,Acquisition,Day7,1.6875
Muscimol,14,PreCS,Acquisition,Day8,1.75
Muscimol,14,PreCS,Acquisition,Day9,1.5
Muscimol,14,PreCS,PostAcquisition,Day10,0.5
Muscimol,14,PreCS,PostAcquisition,Day11,0.3125
Muscimol,14,PreCS,Infusion,Day12,0.0625
Muscimol,14,PreCS,Infusion,Day13,0.0625
Muscimol,14,PreCS,Infusion,Day14,0.5625
Muscimol,14,PreCS,Infusion,Day15,0.5
Muscimol,14,PreCS,NoInfusion,Day16,1.25
Muscimol,14,PreCS,NoInfusion,Day17,4.5
Muscimol,14,CS,Acquisition,Day1,3.5625
Muscimol,14,CS,Acquisition,Day2,6.3125
Muscimol,14,CS,Acquisition,Day3,7
Muscimol,14,CS,Acquisition,Day4,6
Muscimol,14,CS,Acquisition,Day5,8.0625
Muscimol,14,CS,Acquisition,Day6,6.75
Muscimol,14,CS,Acquisition,Day7,5.4375
Muscimol,14,CS,Acquisition,Day8,5.8125
Muscimol,14,CS,Acquisition,Day9,6.125
Muscimol,14,CS,PostAcquisition,Day10,6.75
Muscimol,14,CS,PostAcquisition,Day11,6.5
Muscimol,14,CS,Infusion,Day12,6
Muscimol,14,CS,Infusion,Day13,7.8125
Muscimol,14,CS,Infusion,Day14,4.75
Muscimol,14,CS,Infusion,Day15,6
Muscimol,14,CS,NoInfusion,Day16,11.3125
Muscimol,14,CS,NoInfusion,Day17,17.3125
Muscimol,14,CSPre,Acquisition,Day1,0.6875
Muscimol,14,CSPre,Acquisition,Day2,3.625
Muscimol,14,CSPre,Acquisition,Day3,5.5625
Muscimol,14,CSPre,Acquisition,Day4,3.75
Muscimol,14,CSPre,Acquisition,Day5,6.5625
Muscimol,14,CSPre,Acquisition,Day6,4.125
Muscimol,14,CSPre,Acquisition,Day7,3.75
Muscimol,14,CSPre,Acquisition,Day8,4.0625
Muscimol,14,CSPre,Acquisition,Day9,4.625
Muscimol,14,CSPre,PostAcquisition,Day10,6.25
Muscimol,14,CSPre,PostAcquisition,Day11,6.1875
Muscimol,14,CSPre,Infusion,Day12,5.9375
Muscimol,14,CSPre,Infusion,Day13,7.75
Muscimol,14,CSPre,Infusion,Day14,4.1875
Muscimol,14,CSPre,Infusion,Day15,5.5
Muscimol,14,CSPre,NoInfusion,Day16,10.0625
Muscimol,14,CSPre,NoInfusion,Day17,12.8125
Muscimol,16,PreCS,Acquisition,Day1,3.5625
Muscimol,16,PreCS,Acquisition,Day2,1.25
Muscimol,16,PreCS,Acquisition,Day3,0.8125
Muscimol,16,PreCS,Acquisition,Day4,0.8125
Muscimol,16,PreCS,Acquisition,Day5,1.125
Muscimol,16,PreCS,Acquisition,Day6,0.4375
Muscimol,16,PreCS,Acquisition,Day7,0.625
Muscimol,16,PreCS,Acquisition,Day8,0.6875
Muscimol,16,PreCS,Acquisition,Day9,0.375
Muscimol,16,PreCS,PostAcquisition,Day10,0.6875
Muscimol,16,PreCS,PostAcquisition,Day11,0.1875
Muscimol,16,PreCS,Infusion,Day12,0.125
Muscimol,16,PreCS,Infusion,Day13,0
Muscimol,16,PreCS,Infusion,Day14,0.1875
Muscimol,16,PreCS,Infusion,Day15,0.0625
Muscimol,16,PreCS,NoInfusion,Day16,0.4375
Muscimol,16,PreCS,NoInfusion,Day17,0.25
Muscimol,16,CS,Acquisition,Day1,5.3125
Muscimol,16,CS,Acquisition,Day2,5.1875
Muscimol,16,CS,Acquisition,Day3,5.4375
Muscimol,16,CS,Acquisition,Day4,5.625
Muscimol,16,CS,Acquisition,Day5,6.6875
Muscimol,16,CS,Acquisition,Day6,7.5625
Muscimol,16,CS,Acquisition,Day7,7.375
Muscimol,16,CS,Acquisition,Day8,6.25
Muscimol,16,CS,Acquisition,Day9,5.75
Muscimol,16,CS,PostAcquisition,Day10,9.1875
Muscimol,16,CS,PostAcquisition,Day11,5.5
Muscimol,16,CS,Infusion,Day12,6.25
Muscimol,16,CS,Infusion,Day13,5.125
Muscimol,16,CS,Infusion,Day14,4.1875
Muscimol,16,CS,Infusion,Day15,4.25
Muscimol,16,CS,NoInfusion,Day16,6.9375
Muscimol,16,CS,NoInfusion,Day17,7.3125
Muscimol,16,CSPre,Acquisition,Day1,1.75
Muscimol,16,CSPre,Acquisition,Day2,3.9375
Muscimol,16,CSPre,Acquisition,Day3,4.625
Muscimol,16,CSPre,Acquisition,Day4,4.8125
Muscimol,16,CSPre,Acquisition,Day5,5.5625
Muscimol,16,CSPre,Acquisition,Day6,7.125
Muscimol,16,CSPre,Acquisition,Day7,6.75
Muscimol,16,CSPre,Acquisition,Day8,5.5625
Muscimol,16,CSPre,Acquisition,Day9,5.375
Muscimol,16,CSPre,PostAcquisition,Day10,8.5
Muscimol,16,CSPre,PostAcquisition,Day11,5.3125
Muscimol,16,CSPre,Infusion,Day12,6.125
Muscimol,16,CSPre,Infusion,Day13,5.125
Muscimol,16,CSPre,Infusion,Day14,4
Muscimol,16,CSPre,Infusion,Day15,4.1875
Muscimol,16,CSPre,NoInfusion,Day16,6.5
Muscimol,16,CSPre,NoInfusion,Day17,7.0625
Muscimol,19,PreCS,Acquisition,Day1,1.5625
Muscimol,19,PreCS,Acquisition,Day2,3.375
Muscimol,19,PreCS,Acquisition,Day3,1.8125
Muscimol,19,PreCS,Acquisition,Day4,0.6875
Muscimol,19,PreCS,Acquisition,Day5,1.625
Muscimol,19,PreCS,Acquisition,Day6,2
Muscimol,19,PreCS,Acquisition,Day7,0.5625
Muscimol,19,PreCS,Acquisition,Day8,0.3125
Muscimol,19,PreCS,Acquisition,Day9,0.4375
Muscimol,19,PreCS,PostAcquisition,Day10,1.1875
Muscimol,19,PreCS,PostAcquisition,Day11,0.125
Muscimol,19,PreCS,Infusion,Day12,1.0625
Muscimol,19,PreCS,Infusion,Day13,0.0625
Muscimol,19,PreCS,Infusion,Day14,1.25
Muscimol,19,PreCS,Infusion,Day15,0.6875
Muscimol,19,PreCS,NoInfusion,Day16,0.1875
Muscimol,19,PreCS,NoInfusion,Day17,5.75
Muscimol,19,CS,Acquisition,Day1,2.8125
Muscimol,19,CS,Acquisition,Day2,4.625
Muscimol,19,CS,Acquisition,Day3,6.9375
Muscimol,19,CS,Acquisition,Day4,7.375
Muscimol,19,CS,Acquisition,Day5,6.875
Muscimol,19,CS,Acquisition,Day6,7.125
Muscimol,19,CS,Acquisition,Day7,4.3125
Muscimol,19,CS,Acquisition,Day8,4.5625
Muscimol,19,CS,Acquisition,Day9,5.4375
Muscimol,19,CS,PostAcquisition,Day10,10.6875
Muscimol,19,CS,PostAcquisition,Day11,13.625
Muscimol,19,CS,Infusion,Day12,11.25
Muscimol,19,CS,Infusion,Day13,10.875
Muscimol,19,CS,Infusion,Day14,8.6875
Muscimol,19,CS,Infusion,Day15,9.75
Muscimol,19,CS,NoInfusion,Day16,13.5625
Muscimol,19,CS,NoInfusion,Day17,22
Muscimol,19,CSPre,Acquisition,Day1,1.25
Muscimol,19,CSPre,Acquisition,Day2,1.25
Muscimol,19,CSPre,Acquisition,Day3,5.125
Muscimol,19,CSPre,Acquisition,Day4,6.6875
Muscimol,19,CSPre,Acquisition,Day5,5.25
Muscimol,19,CSPre,Acquisition,Day6,5.125
Muscimol,19,CSPre,Acquisition,Day7,3.75
Muscimol,19,CSPre,Acquisition,Day8,4.25
Muscimol,19,CSPre,Acquisition,Day9,5
Muscimol,19,CSPre,PostAcquisition,Day10,9.5
Muscimol,19,CSPre,PostAcquisition,Day11,13.5
Muscimol,19,CSPre,Infusion,Day12,10.1875
Muscimol,19,CSPre,Infusion,Day13,10.8125
Muscimol,19,CSPre,Infusion,Day14,7.4375
Muscimol,19,CSPre,Infusion,Day15,9.0625
Muscimol,19,CSPre,NoInfusion,Day16,13.375
Muscimol,19,CSPre,NoInfusion,Day17,16.25
Muscimol,21,PreCS,Acquisition,Day1,2.4375
Muscimol,21,PreCS,Acquisition,Day2,2.5625
Muscimol,21,PreCS,Acquisition,Day3,1.3125
Muscimol,21,PreCS,Acquisition,Day4,1.625
Muscimol,21,PreCS,Acquisition,Day5,1.0625
Muscimol,21,PreCS,Acquisition,Day6,0.9375
Muscimol,21,PreCS,Acquisition,Day7,0.5625
Muscimol,21,PreCS,Acquisition,Day8,2.5
Muscimol,21,PreCS,Acquisition,Day9,0.625
Muscimol,21,PreCS,PostAcquisition,Day10,0.1875
Muscimol,21,PreCS,PostAcquisition,Day11,0
Muscimol,21,PreCS,Infusion,Day12,0.6875
Muscimol,21,PreCS,Infusion,Day13,0.625
Muscimol,21,PreCS,Infusion,Day14,1.5625
Muscimol,21,PreCS,Infusion,Day15,1.0625
Muscimol,21,PreCS,NoInfusion,Day16,0.125
Muscimol,21,PreCS,NoInfusion,Day17,0.4375
Muscimol,21,CS,Acquisition,Day1,2.5
Muscimol,21,CS,Acquisition,Day2,2.9375
Muscimol,21,CS,Acquisition,Day3,6.125
Muscimol,21,CS,Acquisition,Day4,7.625
Muscimol,21,CS,Acquisition,Day5,4.75
Muscimol,21,CS,Acquisition,Day6,4.75
Muscimol,21,CS,Acquisition,Day7,6.875
Muscimol,21,CS,Acquisition,Day8,6.625
Muscimol,21,CS,Acquisition,Day9,8.0625
Muscimol,21,CS,PostAcquisition,Day10,6.6875
Muscimol,21,CS,PostAcquisition,Day11,4
Muscimol,21,CS,Infusion,Day12,2.75
Muscimol,21,CS,Infusion,Day13,4.3125
Muscimol,21,CS,Infusion,Day14,4.25
Muscimol,21,CS,Infusion,Day15,2.5625
Muscimol,21,CS,NoInfusion,Day16,7.4375
Muscimol,21,CS,NoInfusion,Day17,7.5625
Muscimol,21,CSPre,Acquisition,Day1,0.0625
Muscimol,21,CSPre,Acquisition,Day2,0.375
Muscimol,21,CSPre,Acquisition,Day3,4.8125
Muscimol,21,CSPre,Acquisition,Day4,6
Muscimol,21,CSPre,Acquisition,Day5,3.6875
Muscimol,21,CSPre,Acquisition,Day6,3.8125
Muscimol,21,CSPre,Acquisition,Day7,6.3125
Muscimol,21,CSPre,Acquisition,Day8,4.125
Muscimol,21,CSPre,Acquisition,Day9,7.4375
Muscimol,21,CSPre,PostAcquisition,Day10,6.5
Muscimol,21,CSPre,PostAcquisition,Day11,4
Muscimol,21,CSPre,Infusion,Day12,2.0625
Muscimol,21,CSPre,Infusion,Day13,3.6875
Muscimol,21,CSPre,Infusion,Day14,2.6875
Muscimol,21,CSPre,Infusion,Day15,1.5
Muscimol,21,CSPre,NoInfusion,Day16,7.3125
Muscimol,21,CSPre,NoInfusion,Day17,7.125
Muscimol,23,PreCS,Acquisition,Day1,1.1875
Muscimol,23,PreCS,Acquisition,Day2,2.625
Muscimol,23,PreCS,Acquisition,Day3,1.0625
Muscimol,23,PreCS,Acquisition,Day4,1.3125
Muscimol,23,PreCS,Acquisition,Day5,1.25
Muscimol,23,PreCS,Acquisition,Day6,0.875
Muscimol,23,PreCS,Acquisition,Day7,0.8125
Muscimol,23,PreCS,Acquisition,Day8,1.75
Muscimol,23,PreCS,Acquisition,Day9,2.125
Muscimol,23,PreCS,PostAcquisition,Day10,0.1875
Muscimol,23,PreCS,PostAcquisition,Day11,1.4375
Muscimol,23,PreCS,Infusion,Day12,0.125
Muscimol,23,PreCS,Infusion,Day13,0.5625
Muscimol,23,PreCS,Infusion,Day14,1.4375
Muscimol,23,PreCS,Infusion,Day15,1
Muscimol,23,PreCS,NoInfusion,Day16,1.5
Muscimol,23,PreCS,NoInfusion,Day17,3.75
Muscimol,23,CS,Acquisition,Day1,2.3125
Muscimol,23,CS,Acquisition,Day2,3.6875
Muscimol,23,CS,Acquisition,Day3,5
Muscimol,23,CS,Acquisition,Day4,5.5
Muscimol,23,CS,Acquisition,Day5,5.125
Muscimol,23,CS,Acquisition,Day6,4.4375
Muscimol,23,CS,Acquisition,Day7,5.125
Muscimol,23,CS,Acquisition,Day8,4.5
Muscimol,23,CS,Acquisition,Day9,3.75
Muscimol,23,CS,PostAcquisition,Day10,7.4375
Muscimol,23,CS,PostAcquisition,Day11,6.375
Muscimol,23,CS,Infusion,Day12,6.4375
Muscimol,23,CS,Infusion,Day13,5.3125
Muscimol,23,CS,Infusion,Day14,5.5625
Muscimol,23,CS,Infusion,Day15,4.8125
Muscimol,23,CS,NoInfusion,Day16,9.1875
Muscimol,23,CS,NoInfusion,Day17,13.5625
Muscimol,23,CSPre,Acquisition,Day1,1.125
Muscimol,23,CSPre,Acquisition,Day2,1.0625
Muscimol,23,CSPre,Acquisition,Day3,3.9375
Muscimol,23,CSPre,Acquisition,Day4,4.1875
Muscimol,23,CSPre,Acquisition,Day5,3.875
Muscimol,23,CSPre,Acquisition,Day6,3.5625
Muscimol,23,CSPre,Acquisition,Day7,4.3125
Muscimol,23,CSPre,Acquisition,Day8,2.75
Muscimol,23,CSPre,Acquisition,Day9,1.625
Muscimol,23,CSPre,PostAcquisition,Day10,7.25
Muscimol,23,CSPre,PostAcquisition,Day11,4.9375
Muscimol,23,CSPre,Infusion,Day12,6.3125
Muscimol,23,CSPre,Infusion,Day13,4.75
Muscimol,23,CSPre,Infusion,Day14,4.125
Muscimol,23,CSPre,Infusion,Day15,3.8125
Muscimol,23,CSPre,NoInfusion,Day16,7.6875
Muscimol,23,CSPre,NoInfusion,Day17,9.8125
Muscimol,25,PreCS,Acquisition,Day1,2.1875
Muscimol,25,PreCS,Acquisition,Day2,2.125
Muscimol,25,PreCS,Acquisition,Day3,2.625
Muscimol,25,PreCS,Acquisition,Day4,1.25
Muscimol,25,PreCS,Acquisition,Day5,1.5625
Muscimol,25,PreCS,Acquisition,Day6,1.4375
Muscimol,25,PreCS,Acquisition,Day7,0.875
Muscimol,25,PreCS,Acquisition,Day8,0.75
Muscimol,25,PreCS,Acquisition,Day9,1.4375
Muscimol,25,PreCS,PostAcquisition,Day10,0.5625
Muscimol,25,PreCS,PostAcquisition,Day11,0.4375
Muscimol,25,PreCS,Infusion,Day12,0.25
Muscimol,25,PreCS,Infusion,Day13,1.375
Muscimol,25,PreCS,Infusion,Day14,0.8125
Muscimol,25,PreCS,Infusion,Day15,2.0625
Muscimol,25,PreCS,NoInfusion,Day16,0.5625
Muscimol,25,PreCS,NoInfusion,Day17,1.5625
Muscimol,25,CS,Acquisition,Day1,3.8125
Muscimol,25,CS,Acquisition,Day2,5.625
Muscimol,25,CS,Acquisition,Day3,6.0625
Muscimol,25,CS,Acquisition,Day4,7.1875
Muscimol,25,CS,Acquisition,Day5,6.25
Muscimol,25,CS,Acquisition,Day6,6.5
Muscimol,25,CS,Acquisition,Day7,7.75
Muscimol,25,CS,Acquisition,Day8,8.8125
Muscimol,25,CS,Acquisition,Day9,10.0625
Muscimol,25,CS,PostAcquisition,Day10,3.875
Muscimol,25,CS,PostAcquisition,Day11,5.5625
Muscimol,25,CS,Infusion,Day12,5.5
Muscimol,25,CS,Infusion,Day13,3.5625
Muscimol,25,CS,Infusion,Day14,8.5
Muscimol,25,CS,Infusion,Day15,6.75
Muscimol,25,CS,NoInfusion,Day16,4.75
Muscimol,25,CS,NoInfusion,Day17,10
Muscimol,25,CSPre,Acquisition,Day1,1.625
Muscimol,25,CSPre,Acquisition,Day2,3.5
Muscimol,25,CSPre,Acquisition,Day3,3.4375
Muscimol,25,CSPre,Acquisition,Day4,5.9375
Muscimol,25,CSPre,Acquisition,Day5,4.6875
Muscimol,25,CSPre,Acquisition,Day6,5.0625
Muscimol,25,CSPre,Acquisition,Day7,6.875
Muscimol,25,CSPre,Acquisition,Day8,8.0625
Muscimol,25,CSPre,Acquisition,Day9,8.625
Muscimol,25,CSPre,PostAcquisition,Day10,3.3125
Muscimol,25,CSPre,PostAcquisition,Day11,5.125
Muscimol,25,CSPre,Infusion,Day12,5.25
Muscimol,25,CSPre,Infusion,Day13,2.1875
Muscimol,25,CSPre,Infusion,Day14,7.6875
Muscimol,25,CSPre,Infusion,Day15,4.6875
Muscimol,25,CSPre,NoInfusion,Day16,4.1875
Muscimol,25,CSPre,NoInfusion,Day17,8.4375
Muscimol,29,PreCS,Acquisition,Day1,2.4375
Muscimol,29,PreCS,Acquisition,Day2,1.3125
Muscimol,29,PreCS,Acquisition,Day3,0.875
Muscimol,29,PreCS,Acquisition,Day4,1.1875
Muscimol,29,PreCS,Acquisition,Day5,0.9375
Muscimol,29,PreCS,Acquisition,Day6,0.75
Muscimol,29,PreCS,Acquisition,Day7,0.3125
Muscimol,29,PreCS,Acquisition,Day8,1.6875
Muscimol,29,PreCS,Acquisition,Day9,0.625
